embedding,labels
"8.724221,32.516247",5
"-32.800404,-17.425034",0
"-21.514858,-4.2385244",0
"-39.110786,-39.678566",2
"13.555811,16.898247",4
"-49.45088,25.552124",1
"-51.536808,26.60278",2
"39.175365,-12.291442",3
"-21.947178,1.2066178",0
"39.076588,-14.381376",5
"-26.297348,-13.064604",0
"-36.820976,-32.875282",0
"-32.630554,-24.43235",0
"24.232458,26.495167",3
"13.559599,-0.12257339",4
"10.990906,2.7892854",4
"28.702417,21.642647",3
"-38.240948,-38.02957",2
"-39.78513,-39.92866",2
"26.126974,-17.354301",4
"-34.108376,-42.47069",2
"-50.56084,26.292044",1
"37.072224,-1.1898035",3
"12.002488,28.602266",4
"28.988628,-0.49431112",5
"34.46686,2.098345",3
"-39.01759,-38.66263",1
"-5.9994397,-35.099968",2
"15.260404,-8.917862",1
"-39.46669,-41.11227",2
"20.83019,36.02497",3
"26.615917,-19.654388",3
"9.933993,1.3478351",4
"-48.186657,22.698502",0
"27.42827,-13.663378",5
"-40.386112,-39.175175",2
"8.651524,-6.26327",3
"30.885107,-15.579864",5
"34.941704,-11.140796",5
"-28.196756,18.014715",2
"4.040002,2.7309475",5
"-22.735527,7.1922345",0
"-41.85484,-37.379726",1
"-38.181717,-39.814083",2
"47.706524,0.52147156",4
"32.132397,-2.3340075",5
"19.858047,38.082",3
"-37.747654,-38.433445",1
"37.767998,-9.789078",5
"9.857712,29.802454",5
"-27.47766,17.059082",0
"38.374725,-17.121023",3
"-51.56442,25.959267",1
"17.147566,15.728387",3
"-41.63086,-38.30084",2
"23.47567,22.10281",3
"8.660914,-1.3634368",3
"-3.6954973,-12.943338",0
"19.684896,16.71122",3
"-25.747187,-8.435113",0
"23.060627,25.478321",5
"10.718389,-19.807358",4
"-51.21752,26.89691",1
"15.867692,35.113766",4
"9.430787,34.35398",5
"32.683254,10.824284",3
"29.67466,-0.9212574",5
"44.78505,-23.129583",5
"48.76514,-17.780191",5
"18.30367,-13.34266",3
"10.65315,31.607603",5
"-50.062695,24.699627",1
"21.131304,24.572865",3
"-27.873865,-16.48979",0
"-30.045334,19.062634",2
"16.708656,36.04871",5
"39.00225,-12.290052",5
"38.341854,0.93097186",5
"-38.86587,-37.81422",2
"30.27794,-15.528657",5
"-52.704,27.459019",1
"-39.573357,-39.36866",1
"-33.417667,-21.063444",0
"-40.095787,-37.28621",1
"3.5114367,20.462387",4
"27.440292,-12.936744",5
"-39.83051,-38.582863",2
"-0.66004646,-10.036105",2
"-22.665653,-4.126565",0
"4.1079607,20.375189",4
"-1.1018722,-9.133118",2
"5.8383107,2.7859473",3
"24.68652,-8.1855",4
"-52.34581,25.477982",2
"-51.244194,5.186211",5
"20.885317,-21.45519",4
"-50.991257,25.554726",1
"-40.155117,-38.115685",2
"18.31784,37.463352",4
"14.993961,38.74594",3
"-28.676098,18.920332",2
"48.215942,-12.863728",5
"-22.774883,7.687564",0
"32.182743,-2.4218287",5
"48.27909,-10.996941",5
"-50.86056,24.848259",1
"-33.196926,-20.466232",0
"-29.134806,19.163029",2
"8.917279,3.1278245",3
"-39.23676,-35.586105",0
"-38.964485,-37.132805",1
"-38.548042,-38.80943",1
"-51.29347,27.220022",1
"-39.445606,-37.687077",1
"-12.878555,-5.849982",0
"-23.59569,-1.8665254",0
"-50.36034,25.835985",1
"38.072403,-16.914223",4
"-37.653507,-34.903946",0
"-5.2100997,1.4806976",4
"0.7014027,-2.850443",0
"-42.171562,-38.577606",2
"-1.1494025,-9.705397",4
"16.88686,11.298741",3
"36.423107,-7.00737",3
"-28.241947,19.019512",2
"22.583265,23.761553",3
"50.16751,-12.751128",5
"16.008451,37.509422",5
"-28.770044,-14.003522",0
"43.995003,-22.587023",5
"-31.019564,-16.54227",0
"-28.530247,21.121508",2
"-31.926321,-27.131407",0
"6.7356405,16.049002",4
"-29.847776,-16.075596",0
"42.296883,-5.153424",3
"-45.707752,24.33586",1
"-32.948868,-39.628254",2
"-30.457125,-18.411358",0
"52.70002,-1.246329",5
"51.8205,-12.248958",5
"-46.73882,25.55639",1
"-49.356373,27.756313",1
"39.367123,-26.721624",5
"-34.54758,-39.98004",1
"16.386908,-4.830324",3
"-3.950117,-13.553383",0
"-1.4081883,-15.238408",0
"-33.20964,-38.65872",2
"-34.4799,-38.524277",2
"1.224474,-2.6979032",0
"-1.0560057,-8.793349",4
"35.95236,-4.7412925",3
"-31.176283,-22.660439",0
"-48.967274,26.499569",1
"33.864777,1.130428",3
"-47.987587,27.5973",1
"3.7588985,-3.4393125",3
"0.12997018,-7.645461",0
"26.809353,-12.172891",5
"40.663956,0.7122175",4
"7.0875463,6.0087104",4
"-32.068333,-39.08332",5
"9.41619,35.164223",5
"-30.775423,-37.911034",2
"25.622618,-3.387373",5
"-33.473373,-41.89313",2
"-36.769524,-41.484497",0
"-34.38466,-39.09784",1
"-24.236427,17.810495",0
"3.017593,4.3972626",2
"-33.62118,-38.21486",2
"-34.17647,-37.41764",1
"-25.92807,-17.542814",0
"-29.676823,20.333502",2
"51.82297,-1.5855582",3
"-48.00701,26.169636",1
"37.779522,-10.198634",5
"24.352844,25.510553",3
"-49.327396,6.132187",2
"-27.156034,-17.981955",0
"39.994106,-3.5394125",3
"18.11184,16.248737",5
"-28.001764,20.41238",2
"13.995779,3.9718833",5
"37.15283,-18.673845",5
"8.752328,-6.9808493",4
"-50.34249,27.482807",2
"46.62775,5.964675",4
"19.517084,17.290613",3
"7.8187523,4.593934",5
"33.86379,-11.968531",5
"18.878283,30.051878",4
"21.23124,-16.520504",3
"11.856708,0.90857875",4
"-34.802395,-39.157364",2
"-51.593292,5.3954015",2
"-35.662243,-38.528458",2
"35.72638,-13.821022",4
"24.081192,23.833672",4
"-27.45944,20.720985",2
"34.04075,-12.050467",4
"-48.627556,27.681074",1
"27.152077,-14.225984",4
"-35.265575,-40.443954",2
"24.70004,22.67928",3
"31.42359,-5.9567757",3
"-28.417252,20.100672",2
"9.948022,-17.577717",2
"4.7917175,2.5491338",5
"31.589088,-16.338139",5
"13.539832,38.084778",3
"-2.290574,-11.625672",0
"-22.889853,4.6186776",0
"18.217604,-20.088728",4
"-25.847853,-15.609718",0
"20.479557,11.135391",4
"47.75655,6.3896227",5
"-35.19139,-39.54705",2
"-29.99695,-38.243355",0
"-30.284985,-24.17223",0
"49.721134,-17.217043",5
"-22.607164,10.8601885",0
"49.66905,-11.908126",5
"-46.92352,25.737617",1
"-28.806658,22.123236",2
"-25.438602,7.7335954",0
"46.821186,-4.4597926",5
"16.03314,29.373152",3
"16.942545,33.992043",5
"-35.95818,-39.344147",2
"-27.80373,21.216175",2
"-27.784554,19.729448",2
"12.65531,23.166237",4
"20.648222,32.28295",4
"4.631833,15.199386",4
"-32.051476,-14.651713",0
"11.65914,22.613447",4
"40.654778,0.52862954",4
"-19.300266,2.97685",0
"19.757433,15.340892",3
"-49.30491,27.18736",1
"51.496952,-17.856806",5
"-35.247437,-37.323654",1
"50.60969,-1.6647186",5
"-31.054153,-19.870935",0
"-31.119463,-19.23451",0
"-28.804955,20.614883",2
"-29.601162,21.273127",2
"-29.112211,20.077808",2
"-29.953579,-14.300232",0
"3.988662,-4.6919203",1
"49.36252,-4.6966305",5
"48.427254,-16.40166",5
"-48.60579,27.063742",1
"-31.284178,-34.99345",2
"17.453217,36.411076",3
"-26.966469,-28.244532",0
"14.485247,38.847866",4
"8.453865,33.595726",4
"35.204273,1.9020419",3
"17.571232,38.265217",5
"48.890976,-7.912728",5
"-26.586514,18.53781",2
"-26.699137,19.993433",2
"-48.924515,29.714272",1
"45.96991,2.4510021",3
"7.5655975,-6.1440735",0
"16.377932,-18.313484",5
"46.587894,7.090176",5
"36.66491,-21.285135",5
"39.317528,-15.698829",5
"-49.33693,7.4060206",1
"32.821644,3.6300075",3
"33.252018,-3.6036015",5
"-31.017872,-13.166927",0
"18.09144,3.2141793",3
"35.7757,-4.892875",4
"-32.25513,-35.370667",1
"-3.2920573,-11.569008",0
"8.626075,-11.738348",3
"-31.024967,-20.841625",0
"25.68593,-9.377977",5
"23.694948,20.635258",3
"6.229516,5.612582",5
"-32.116356,-41.348495",2
"-12.200832,7.3680425",0
"25.44951,24.693087",3
"2.2674735,17.371939",5
"26.94474,-18.990211",5
"2.032261,-2.817498",0
"14.125887,-7.7891912",4
"-52.06977,4.6129813",5
"-32.037773,-34.80648",1
"-31.075974,-35.83517",2
"46.542793,-9.172872",4
