embedding,labels
"3.2451751,14.924717,-1.0250776",5
"-13.705459,-8.207323,-0.94518346",0
"-10.03977,-0.8596292,-1.5052844",0
"-15.012531,-16.679134,1.1174257",2
"2.3787487,6.2600727,-2.7713537",4
"-18.038847,7.9668417,-0.40187564",1
"-18.099188,7.2481294,-1.7470031",2
"12.531053,-5.340703,-2.4558117",3
"-11.412723,1.1930724,1.3024379",0
"13.798857,-7.1753283,-0.89620775",5
"-14.892981,-5.854713,4.0215187",0
"-13.508683,-13.069923,-0.3424683",0
"-13.631326,-12.316827,1.3545158",0
"8.153836,8.106486,-0.024091942",3
"2.5958133,0.042817593,1.5860664",4
"0.4979557,1.3878721,0.24394257",4
"8.440349,5.842235,0.8460485",3
"-14.344084,-15.410754,0.7905166",2
"-15.2465925,-16.415268,1.3289503",2
"11.288486,-7.44477,-3.0735765",4
"-12.077192,-17.744848,-0.17148362",2
"-17.163458,7.771698,-1.4329487",1
"12.591421,1.7312858,3.074213",3
"3.934787,13.383424,-2.6817408",4
"6.756377,0.87948096,2.8844464",5
"11.447471,1.6889733,-1.1897665",3
"-15.036079,-15.52004,0.38256702",1
"-0.8060319,-9.902039,9.802637",2
"5.6687407,-3.7562382,-3.5875163",1
"-15.933696,-15.741813,1.8337858",2
"9.540899,11.631719,1.2323893",3
"10.714323,-9.028477,-2.268433",3
"1.0525753,0.50810283,-0.26560366",4
"-15.728434,6.7329917,0.43910328",0
"8.424952,-3.8433027,1.5451696",5
"-15.582012,-16.265482,0.35241866",2
"3.3983374,-4.5413227,-4.744758",3
"10.362982,-5.43568,0.85323286",5
"11.845261,-3.517289,-0.824014",5
"-9.718163,9.26373,3.582328",2
"-0.061000943,0.852309,-3.2315776",5
"-10.666792,3.2514694,-0.23785204",0
"-15.241027,-16.07796,-1.3999352",1
"-14.554367,-16.1625,1.7774153",2
"16.912477,-3.235187,-3.5991638",4
"9.061317,0.13790868,2.7991102",5
"8.741939,11.132125,-0.3780188",3
"-13.897194,-15.603834,1.1486143",1
"11.088114,-0.2260154,-5.1098614",5
"4.558393,15.438809,-3.791383",5
"-9.486774,8.26834,3.3779368",0
"10.4261265,-8.111328,0.8540941",3
"-17.18653,7.129098,-1.710771",1
"7.434365,6.2371464,-7.8397994",3
"-15.712567,-16.211521,-0.8822415",2
"6.117703,6.7940235,-2.0789661",3
"-1.6304096,-0.47810695,2.0014863",3
"-3.2152295,-4.3664565,-0.18106684",0
"6.8867745,6.1689105,-6.033238",3
"-12.768956,-2.5006747,-0.19903377",0
"7.2067137,8.533114,-0.92042196",5
"3.1536472,-8.330482,2.9447107",4
"-17.680857,7.4818554,-1.9880832",1
"8.529201,14.793776,-0.15563272",4
"3.4035778,13.687998,0.2088147",5
"10.476482,2.351299,-8.2269125",3
"7.273075,0.686908,2.9714499",5
"16.894983,-8.909343,4.39919",5
"16.469828,-7.368715,0.14462866",5
"5.354837,-4.463298,4.7514114",3
"4.2187057,15.608666,-2.0275486",5
"-16.771263,7.7271767,-0.71155286",1
"6.678933,9.109904,-2.3907125",3
"-13.641614,-7.152366,2.323526",0
"-9.377901,11.436541,3.6029952",2
"8.589608,13.866965,0.16948809",5
"12.591264,-5.2552853,-2.3667912",5
"13.78948,2.4609127,0.789179",5
"-14.093052,-16.17272,0.32996652",2
"10.054767,-5.34602,0.4576684",5
"-18.284126,6.817887,-2.8692312",1
"-15.308043,-16.551994,0.84755486",1
"-14.044113,-10.032881,-0.24978481",0
"-14.410693,-16.759394,-0.34492102",1
"-0.3642133,9.977153,0.8042128",4
"8.635204,-3.424389,1.2264752",5
"-14.92388,-16.455135,0.27122477",2
"-1.5546155,-1.0402557,1.3924607",2
"-10.889571,-1.2854626,-1.8459575",0
"0.06274014,9.873896,0.6084659",4
"-2.1266217,-1.1563972,0.43011704",2
"0.4473385,0.97554827,-2.0247545",3
"9.633384,-3.9465306,-2.3553934",4
"-17.57073,6.283,-1.5356311",2
"-22.524231,0.6864555,-4.5845814",5
"6.1568046,-9.511732,-1.1273421",4
"-17.708664,7.243871,-0.9735978",1
"-14.69993,-17.184263,0.24922542",2
"7.9150443,12.278261,-0.14413916",4
"7.8001566,13.063643,2.2305431",3
"-9.394394,9.973387,3.9166677",2
"16.773968,-5.3608303,1.6833317",5
"-10.565397,3.6675203,-0.16204515",0
"9.075685,0.09011291,2.7325034",5
"17.856447,-4.197274,0.6682746",5
"-17.068539,7.132405,-0.7171541",1
"-13.896609,-9.579289,-0.31268993",0
"-9.46683,10.565044,3.953552",2
"1.6125383,1.8393326,-1.1206884",3
"-14.288504,-14.3578205,-0.40825295",0
"-13.863504,-16.153816,-0.12519692",1
"-14.731899,-15.642544,0.85147125",1
"-17.796244,7.5478816,-2.0851939",1
"-14.091505,-16.598434,0.3061828",1
"-15.943201,-9.11348,0.13995267",0
"-12.568569,-0.05108446,-1.9517093",0
"-18.136429,7.37782,-1.0447258",1
"10.952114,-7.9432225,0.84085405",4
"-14.069087,-13.669623,0.94107145",0
"-3.781025,-2.036189,-6.1530204",4
"-1.6976178,-2.6589496,-4.8224974",0
"-15.9717045,-15.878621,-0.96401054",2
"-1.9389948,-1.3109565,0.80462724",4
