embedding,labels
"0.4447327,4.262508,-0.46207803,-2.8620121,-1.8994718",5
"-5.9464254,-3.2609558,1.7787359,1.5187656,0.2528818",0
"-3.888386,-0.025291417,-0.6207706,1.0218985,2.5770135",0
"-6.962959,-6.875092,1.0133817,1.920881,0.042822856",2
"2.0889807,1.3718767,-0.23022301,-2.2071414,-1.2439506",4
"-8.302565,2.913313,-0.8524979,-0.3559075,-1.1044631",1
"-7.967393,3.058583,-1.2864232,-1.1684546,-0.8455465",2
"7.1043353,-2.1483486,-1.6889664,2.1439502,-1.0017556",3
"-4.131144,0.99999064,0.3574068,-0.071495384,1.9252769",0
"7.346862,-3.450509,-1.6416824,0.66282904,-0.741225",5
"-4.057243,-1.4480417,-0.7652143,-0.16091843,-0.8702292",0
"-5.951444,-5.029921,0.4280051,1.8354536,-0.5951879",0
"-6.013385,-4.5498905,1.9439135,1.1639873,0.005275202",0
"3.7266455,4.2248507,0.471736,-0.29913625,-0.49126852",3
"1.5120028,-0.09413972,0.32341033,1.6132537,1.1562685",4
"0.83426416,1.5290868,-0.07070065,1.411164,0.45356637",4
"3.2384949,2.397338,0.89366865,-0.49292406,-0.4174916",3
"-6.7871003,-6.531623,1.423024,1.2606629,-0.101525426",2
"-7.103512,-6.661389,0.90318406,1.9180973,0.08841636",2
"4.9385877,-1.87787,-2.5565279,0.8035594,-1.8090316",4
"-6.2808566,-7.5904098,0.6666021,-0.11638718,-0.9104977",2
"-7.9653697,3.0077496,-1.1856786,-0.7791354,-1.1526256",1
"5.9879622,-0.06517288,2.8487744,0.188857,-0.35920244",3
"2.2171369,3.404705,-1.3008342,-2.4842956,-1.8858819",4
"3.8423612,-0.2901772,1.937897,3.0333338,0.55555534",5
"5.131147,0.48122114,0.21736428,1.274358,-0.90177137",3
"-6.8942175,-6.670292,1.6236811,1.642035,-0.20698798",1
"-1.17037,-2.5208626,5.462758,0.7568093,1.5928062",2
"2.0368664,-2.7679594,-1.956737,1.6500632,-0.7977744",1
"-7.283481,-6.788294,1.410009,2.045271,0.890259",2
"3.5387626,5.894717,0.49612635,-0.2866422,-1.9293263",3
"5.3863816,-2.9165244,-3.0086844,1.2808524,-2.395432",3
"1.1426102,0.48969817,-0.8060955,2.0646095,-0.27010924",4
"-7.00956,2.9911313,-1.2110331,0.89417934,-0.5415196",0
"4.960051,-2.6193964,0.17238492,1.8939277,-3.0238824",5
"-7.1076827,-6.9310703,1.4764236,2.013211,-0.20040111",2
"0.41382965,-2.3301687,-2.6628058,0.18896282,-0.81840956",3
"5.4264483,-3.905974,0.088020906,1.3796512,-1.7645512",5
"6.428192,-2.5350149,0.049166266,2.4573622,-0.97291857",5
"-4.137617,5.038464,1.619034,-0.26370615,-0.6882588",2
