embedding,labels
"0.25471422,1.9056207,0.36717004,-0.79484487,-0.1256375,-2.5497742,-0.07638415,0.35582405,-1.033282,0.028419858",5
"-3.8466558,-1.9794327,0.38876066,-0.22081718,0.62532336,0.36272287,0.56435555,-1.1619083,0.03571131,-0.82867527",0
"-2.3664045,0.30838746,0.04214073,-0.2071889,-1.2864271,-0.50119686,-0.82040185,-0.52356917,-1.4175112,-0.2019801",0
"-5.293469,-4.52117,0.2947277,-0.33875605,0.31365645,0.2638755,-0.04615006,-0.18323731,0.084653266,-0.6221782",2
"0.9694779,0.20867886,0.2894236,-0.31090495,0.6957579,-1.0777496,0.50349045,-0.93659216,-0.7687619,0.21197528",4
"-4.8481927,1.9931153,-0.58661336,0.7480249,-0.08526934,0.03957433,-0.57535857,0.9134387,0.77826244,0.6589741",1
"-4.797972,2.181207,-0.6129535,0.5191851,-0.17161125,-0.22300288,-1.146612,0.71747684,0.9177511,0.53589296",2
"4.9725256,-2.2332375,-1.2582679,0.45248765,0.4005576,0.062209267,-0.27767286,-0.5910945,0.5957181,0.49459562",3
"-2.0958853,0.9561111,0.67193395,-0.3812516,-0.5187419,-0.49907017,0.16181481,-0.5315734,-1.0626639,0.20006317",0
"5.185539,-2.0082264,-1.1949813,-0.14631261,-0.2194712,0.031172924,0.070264585,-0.30406204,-0.6755534,-0.1692295",5
"-2.6182635,-1.2266232,0.15717131,0.967001,-0.7132257,-0.9312441,-0.2652849,0.19573708,0.6591771,0.4955151",0
"-4.4361677,-3.021596,-0.34595472,0.010298834,0.7302943,0.5944185,0.11916211,-0.1073079,0.3206867,-0.64937276",0
"-3.990137,-3.0356643,0.6695535,-0.1872136,0.69778794,0.2765526,0.5494308,-1.0689636,0.101085246,-0.6255759",0
"1.6196682,1.2563535,0.74087226,-0.61822516,-0.08439148,-0.28562757,0.2553253,-0.4775178,1.0309852,-0.9656096",3
"0.77724916,-0.49896395,-0.44796067,0.30388004,1.3202673,-0.037021838,-0.76950663,1.1454935,-0.5880392,0.4845395",4
"0.36933196,0.6030851,-0.6132132,-0.0033961814,1.3075016,-0.29417306,-0.6866147,0.7318566,-0.30452695,-0.51101327",4
"1.5488603,-0.050887626,0.50950533,0.03369661,0.31477797,-0.57070166,0.15002877,-0.859385,0.8026701,-1.4400338",3
"-4.9907074,-4.3868065,0.62554115,-0.13832605,0.54683715,0.33801764,0.014286892,-0.48090473,0.09707019,-0.6915823",2
"-5.3753223,-4.4030776,0.27305666,-0.3583129,0.4128664,0.20977074,-0.030686256,-0.20325232,0.13861398,-0.64361036",2
"3.1126091,-1.7976638,-1.6392318,-0.7303943,0.124425456,-0.71383256,-0.08467748,-0.023787197,-0.6795037,0.31860688",4
"-4.39689,-5.062499,1.0683329,0.44537508,0.8291431,0.9548679,-1.0249547,0.12817085,0.2946773,-0.5557613",2
"-4.749281,2.1899345,-0.54283035,0.6200376,-0.20471595,-0.06845836,-1.0086248,0.8336004,0.95266306,0.589783",1
"3.3675182,0.47935396,0.8765495,-0.26585355,-0.3366189,-0.28445658,0.5173711,0.27066138,1.2138212,0.6466227",3
"0.8407174,1.156668,-0.37530038,-0.886087,-0.512288,-1.9189458,0.28126928,-0.6267803,-0.8634135,0.088195816",4
"2.68821,-0.14308552,0.10341033,-0.05065099,2.0217683,-0.18128936,0.02757281,0.97157055,0.023078175,1.2303538",5
"2.7402337,-0.80276304,-0.38837203,0.4441341,-0.008480369,0.2773185,-0.34904048,-0.85908645,1.8122383,0.43382508",3
"-5.1493244,-4.4371533,0.50648516,-0.2083736,0.2271219,0.27678302,-0.026028104,-0.5440048,0.07833834,-0.61881095",1
"-0.7047294,-2.8316543,3.160905,-1.4994272,-0.6286794,-1.1303419,2.020172,0.25548884,-0.06238391,-0.14414866",2
"2.130035,-0.82708365,-1.613675,0.65877515,-1.0509357,-0.36990482,0.39740112,0.44505274,0.3809597,-0.4989886",1
"-5.6990705,-4.610082,0.41656312,-0.69089603,0.4951111,-0.035948444,0.44234356,-0.21329758,0.2018108,-0.3911813",2
