query,ground_truth
"The following given embeddings correspond to ""standing"": [[-5.3088374, -4.220641, 0.10219408, -0.08131899, -0.70173615, 0.3454858, -0.4163643, -0.83302975, 0.015035447, -0.6136929]], and the following given embeddings correspond to ""stair up"": [[2.0596907, -0.53643066, -0.86031395, 1.1477231, -0.23218498, -0.41812158, -0.5023641, -0.6922018, 1.6594197, 0.20804946]]; classify the embedding [-5.293469,-4.52117,0.2947277,-0.33875605,0.31365645,0.2638755,-0.04615006,-0.18323731,0.084653266,-0.6221782] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-0.6472619, -2.605562, 3.2179892, -0.3172622, 0.011485666, -0.06398827, 1.0589678, -0.71742535, -0.3719539, -0.31028214]], and the following given embeddings correspond to ""stair up"": [[1.1601772, 0.51242244, -1.3043097, -0.38883895, -0.061422512, -1.1195116, -0.81400007, -1.5506939, -0.20146199, -0.49542588]]; classify the embedding [-4.797972,2.181207,-0.6129535,0.5191851,-0.17161125,-0.22300288,-1.146612,0.71747684,0.9177511,0.53589296] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-4.44717, -5.194115, 0.5106078, -0.04834689, 0.5831984, 0.93398815, 0.0207884, 0.5954429, -0.05462685, -0.38487926]], and the following given embeddings correspond to ""stair up"": [[2.4895885, -0.38744232, -0.9383072, 0.23160782, 0.6460603, 1.1637766, -1.2801845, 0.42646545, -0.6119323, 0.7712258]]; classify the embedding [-4.9907074,-4.3868065,0.62554115,-0.13832605,0.54683715,0.33801764,0.014286892,-0.48090473,0.09707019,-0.6915823] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-5.6990705, -4.610082, 0.41656312, -0.69089603, 0.4951111, -0.035948444, 0.44234356, -0.21329758, 0.2018108, -0.3911813]], and the following given embeddings correspond to ""stair up"": [[4.8382154, -1.5114211, -0.5994119, 0.5266007, 0.7247536, -0.5218992, 1.3410394, 0.038307276, 0.41321883, 0.7701074]]; classify the embedding [-5.3753223,-4.4030776,0.27305666,-0.3583129,0.4128664,0.20977074,-0.030686256,-0.20325232,0.13861398,-0.64361036] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-4.5871468, -5.1406446, 0.44814977, -0.17697453, 0.6685422, 0.77001524, 0.17115362, 0.61692774, -0.012854637, -0.29276523]], and the following given embeddings correspond to ""stair up"": [[3.3023064, -0.13981129, 1.632501, 0.035973616, 0.87886214, 0.44807318, 0.084069885, 0.8969933, 0.8366421, 0.18705863]]; classify the embedding [-4.39689,-5.062499,1.0683329,0.44537508,0.8291431,0.9548679,-1.0249547,0.12817085,0.2946773,-0.5557613] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-4.987988, 1.0009958, -2.5314376, 0.30144435, 0.4639981, 2.04132, -1.8159231, 0.32472965, -0.4938723, 0.10663778]], and the following given embeddings correspond to ""stair up"": [[0.057290472, 1.9242676, 0.81499255, -1.0280343, -0.07305917, -0.78273267, -0.13646254, -1.6090394, -0.16101062, -0.86821586]]; classify the embedding [-0.7047294,-2.8316543,3.160905,-1.4994272,-0.6286794,-1.1303419,2.020172,0.25548884,-0.06238391,-0.14414866] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[0.8638493, -1.4763713, 1.4242408, 0.040330242, 0.4808408, -0.33657235, 0.73456496, -0.5907764, -0.035537183, -0.22750632]], and the following given embeddings correspond to ""stair up"": [[1.7391374, 2.2504294, 1.6782966, -0.6210313, -0.30756912, -1.1960026, 0.38406643, 0.5385479, 0.29219693, -0.8027545]]; classify the embedding [-5.6990705,-4.610082,0.41656312,-0.69089603,0.4951111,-0.035948444,0.44234356,-0.21329758,0.2018108,-0.3911813] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-0.7671276, -2.7591364, 3.0367405, -1.359983, -0.04015604, -0.3844637, 1.1353486, 0.16368906, -0.31263253, -0.28692746]], and the following given embeddings correspond to ""stair up"": [[1.0610231, -0.53415525, -0.4639907, 1.3856442, -0.9868734, 0.081987604, -0.063547425, 0.29084855, 0.56578356, -0.3355776]]; classify the embedding [-5.3545814,-4.524009,0.3835319,-0.30636588,0.09399594,0.21307091,-0.13275413,-0.45579737,0.081731945,-0.6137265] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-4.987988, 1.0009958, -2.5314376, 0.30144435, 0.4639981, 2.04132, -1.8159231, 0.32472965, -0.4938723, 0.10663778]], and the following given embeddings correspond to ""stair up"": [[3.3023064, -0.13981129, 1.632501, 0.035973616, 0.87886214, 0.44807318, 0.084069885, 0.8969933, 0.8366421, 0.18705863]]; classify the embedding [-1.787968,3.6891878,0.04672115,0.83047104,-0.4155771,-0.59287596,1.3354261,-0.100988045,1.1069694,-0.4633998] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-0.6084633, 4.7799263, -1.3325906, 0.33186176, 0.48033458, 0.45921108, 0.15552595, 0.80820405, -0.162421, -0.17101993]], and the following given embeddings correspond to ""stair up"": [[2.8433487, -0.19404992, 0.20654058, 0.1022245, 0.6639361, -0.1991236, 0.7942725, -0.31642663, 1.6067548, 1.1352919]]; classify the embedding [-5.415588,-4.6956825,0.49808028,-0.327322,0.74530375,0.2361112,0.08437569,-0.112304926,0.1198058,-0.67025816] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-1.2503461, 4.3153753, -0.5125864, 1.0540442, 0.3797485, 0.5826876, 0.60332674, 0.8083001, -0.10951304, -0.3211735]], and the following given embeddings correspond to ""stair up"": [[4.2512794, -0.29277688, 0.36526984, -0.72298235, -0.48585173, 1.2478398, -0.32768583, -0.76475877, -0.5310047, -0.619633]]; classify the embedding [-5.289655,-4.2853513,0.14589082,-0.083355516,-0.59594464,0.34669447,-0.420141,-0.78292465,0.008174701,-0.6416267] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-0.60143316, 4.6806087, -1.2775041, 0.35610676, 0.41500524, 0.43169752, 0.17977451, 0.7856358, -0.11354469, -0.16720283]], and the following given embeddings correspond to ""stair up"": [[2.8376012, -2.0988028, 0.5926046, 0.7793209, -0.53997487, -0.5931746, -0.13440089, 0.6595894, -0.35130894, -0.7712215]]; classify the embedding [-1.8923501,3.6208615,0.10349406,1.5700464,-0.11717073,-0.81988496,1.4574349,0.1488838,1.1970096,-0.9580648] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-1.2802206, 4.286978, -0.48366418, 1.0380816, 0.4358105, 0.5362312, 0.67425585, 0.80280364, -0.1369445, -0.33378926]], and the following given embeddings correspond to ""stair up"": [[0.18940404, 1.0854163, -0.028488306, 0.1746141, 1.2357811, -0.40613058, -0.43927413, 0.5568274, -0.3920264, -0.77833]]; classify the embedding [-5.073679,-4.5660887,0.5670816,-0.0457532,0.39576355,0.40863836,-0.29668576,-0.4257707,0.056771703,-0.7915233] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[0.52440053, -1.8504145, -0.017687274, 0.9055465, -0.24497183, -0.57316667, 0.8301726, 0.67802316, 0.6550893, -0.97215956]], and the following given embeddings correspond to ""stair up"": [[1.0070466, -0.2834156, -1.9696858, 0.46231696, 0.5710668, 0.43519807, -1.4982396, -0.25240883, 0.71725583, -0.02583511]]; classify the embedding [-5.2527966,-4.538043,0.40717784,-0.18826655,0.21995836,0.3134508,-0.22470489,-0.39019126,0.05596958,-0.72846544] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-4.987988, 1.0009958, -2.5314376, 0.30144435, 0.4639981, 2.04132, -1.8159231, 0.32472965, -0.4938723, 0.10663778]], and the following given embeddings correspond to ""stair up"": [[1.8173198, 2.7466323, 0.6233945, -1.0024602, -0.9723634, -1.0494359, 0.29766342, 1.0904272, 0.2602492, -0.11853902]]; classify the embedding [-0.07573308,-0.6131373,-1.0262889,-0.5028462,0.49068838,0.35364267,0.1715844,0.86821455,0.88656104,-0.24152741] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-3.2792091, -4.1005774, 0.20024455, 0.06376604, 0.87156266, 1.655488, 0.0029988831, 0.47399992, -0.025366373, -0.114139326]], and the following given embeddings correspond to ""stair up"": [[0.24577369, -1.0011958, 0.31782955, 1.421098, 0.0026399265, -0.43351385, -0.37558112, 0.8588383, -0.34664032, -0.107783675]]; classify the embedding [-0.30702066,-0.584324,-1.1053147,0.013053156,0.32205635,0.5734484,0.05204272,0.7937768,1.1647485,-0.23981416] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-0.6084633, 4.7799263, -1.3325906, 0.33186176, 0.48033458, 0.45921108, 0.15552595, 0.80820405, -0.162421, -0.17101993]], and the following given embeddings correspond to ""stair up"": [[3.1471498, -0.797045, 0.93527985, 0.9188812, -0.050598204, 0.6355828, -0.19382758, 0.8368624, 0.2123503, 1.6584044]]; classify the embedding [-4.80682,2.0849285,-0.5119291,0.35250232,-0.4179459,-0.10924353,-1.3588878,1.0053978,0.8483505,0.7531046] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-4.39689, -5.062499, 1.0683329, 0.44537508, 0.8291431, 0.9548679, -1.0249547, 0.12817085, 0.2946773, -0.5557613]], and the following given embeddings correspond to ""stair up"": [[1.1601772, 0.51242244, -1.3043097, -0.38883895, -0.061422512, -1.1195116, -0.81400007, -1.5506939, -0.20146199, -0.49542588]]; classify the embedding [-5.172622,-4.6868196,0.42499208,-0.13887198,0.19496198,0.32396376,-0.38365093,-0.4031429,-0.060565196,-0.88068926] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
