embedding,labels
"-3.2399163,1.0970995,-0.19640186,5.8103776,0.42884988,1.0199714,0.37357864,-0.58279955,0.10217061,-0.15673593,0.12203821,2.0088596,-0.18159363,-0.58507043,0.65526867",9
"8.104779,-0.16488737,1.45874,0.10780426,-0.3420818,-0.9979821,0.6322082,0.48835555,2.2433944,0.19209167,-1.4556034,0.2310381,-0.2055522,-1.0398508,0.28837287",7
"-4.360464,-3.3807628,1.4229999,-0.071172,-0.129065,0.6900931,4.9483976,0.6231078,0.81355834,-0.022850579,-0.054360446,-0.2609503,0.06459276,0.3065966,-0.6053811",3
"4.742093,1.3643706,2.2507288,0.25788364,-2.3106554,1.0892608,-0.19379584,-0.7744528,0.6357044,-0.1366335,-0.061805524,-1.3760005,-3.499394,1.110217,0.14542897",5
"1.3220165,-5.7243376,1.4402462,0.6215343,0.7013087,-0.71262676,1.3077627,1.7767613,0.20099874,1.5177237,0.07286527,0.48500976,0.74964625,-0.16620763,1.7746308",10
"0.48003978,-4.616634,0.5566806,-0.29284975,0.21734568,-1.4068466,1.0963131,-0.15875196,-0.34500414,0.23673725,-0.33760965,-2.0389283,-0.5950526,-1.4301493,1.6725026",10
"-1.2025702,-3.3613284,-0.06265628,-2.535597,-1.6999662,6.066666,-0.74659187,-0.35743272,-1.2421992,0.5358698,-0.8228457,0.11688117,0.6463717,-1.0918401,-0.55776966",1
"4.8940477,-0.060551457,-0.81363523,0.52694625,1.1166319,-2.613381,1.2970607,-1.068527,-0.20824888,-0.30564022,0.23346274,0.2619893,1.8541282,-2.6670718,0.9956749",0
"4.4731035,-0.37707895,0.6714362,1.7686776,1.0608498,2.1032865,-0.31408766,-0.63702536,-0.07560179,-0.19743092,-0.9851258,0.82878447,4.3279557,-1.6688432,-1.6435812",3
"3.0209184,-0.38163707,0.15059283,-0.17847897,-1.1934825,-0.8435592,-2.9467278,-2.315259,3.2395463,0.29795125,2.0932329,-0.6922637,1.6124014,-0.41278225,-2.577586",5
"0.97075695,-1.2321517,2.1362765,0.79858744,2.0747557,-3.8012602,3.45465,3.70742,0.901414,-0.2013155,0.9839031,0.56410474,0.16919373,0.7887362,-0.0099086305",2
"-5.028778,1.8369558,0.030725768,3.6575727,-0.2351672,-2.4642303,-0.8937694,-0.756368,-0.008983814,-0.44565317,3.1444244,0.025684277,-0.0839605,0.0074201506,-0.1462041",4
"-1.7888372,1.9096627,0.10000702,4.893854,-0.8951685,1.2913495,2.29656,0.07386447,-0.4477206,0.020998206,2.146589,-0.7627977,-0.39646438,-0.44877726,0.84862757",9
"-0.54177964,2.518627,0.6707727,-1.6528883,-0.001014435,0.69027275,4.7044597,1.3418684,-0.42730796,-0.41244373,0.25976476,-1.2414604,0.22836241,-0.64744335,3.2002344",10
"-2.8424268,1.1566552,0.15345797,4.7195663,-0.12379984,1.3347535,1.0086578,-0.925311,-2.109525,0.07101681,0.019414777,0.66871357,-0.12136438,2.2242084,1.7322547",9
"0.07306623,-0.810659,1.0939544,0.2741593,-0.096161745,0.58978,3.008979,0.93737656,0.112491876,-0.18899554,3.7900593,0.22233738,0.7979054,1.0200509,0.37158749",10
"1.6476978,-0.9351177,-0.9172003,-2.0308163,0.71358615,-7.0720315,-1.5021117,-1.2279425,0.29509753,-0.413222,-0.90629303,-0.7247691,1.2964938,-0.7000231,-1.8829056",5
"0.60554326,-0.06755079,0.06596172,1.2629471,-0.093207374,-2.7250924,-2.952992,-1.122508,-2.0668545,0.34524897,2.1921728,-1.2976067,-0.41742438,-1.5109233,-0.6719698",10
"-6.564644,1.4453242,-2.8690329,2.6648211,-0.31464005,1.5686688,1.9139767,0.4165604,-0.25378814,0.29863256,-0.068599276,1.1352882,-1.1944317,-0.38643783,0.25588408",8
"4.0455556,-0.05880719,3.0106828,-2.5715969,-0.33154708,-0.026282862,-0.9133862,-0.26275462,-0.10579007,-0.04751146,-0.5211803,2.8013961,-0.63116366,1.1037982,0.13663802",2
"1.5809321,0.7322862,-0.42480567,-2.4335978,2.2582383,2.070088,2.3947103,-0.19397272,-1.117711,1.320382,0.3577375,-2.3272793,0.6265682,-0.8906116,0.3613971",10
"-3.3528695,-2.4317648,-0.3748044,-0.2827388,-0.045124836,-0.5068795,-1.304511,-0.91800356,-0.31533128,0.080921955,-0.34719133,-1.9463753,1.9529363,2.6932704,0.2507634",9
"0.8762098,0.6200801,1.2728529,0.65168434,3.4256945,-2.625754,-1.3391765,-0.5670366,-0.455776,0.053157553,-0.2583702,0.4657271,-2.1079738,0.48012143,0.25831428",3
"-1.2462782,-2.7364554,-1.2477459,-2.0692239,-0.79136837,6.178089,-1.9367241,-0.57349885,0.72918826,0.838483,-0.6964519,0.76326996,0.047900498,0.4282233,2.6501272",1
"1.9164436,-6.0808544,-0.21036872,-2.6773643,0.36744517,2.4398806,0.40965295,0.0127958935,0.42244282,-0.2913834,-2.2104304,0.78947055,0.32018858,-0.10664975,0.26349545",0
