embedding,labels
"-42.559498,10.678367",9
"44.936287,22.668007",7
"-17.901222,15.027578",3
"43.145596,-5.338271",5
"17.72844,6.3367615",10
"18.873852,5.9912405",10
"-8.442763,-47.02584",1
"35.478413,20.223316",0
"47.20218,-17.548431",3
"27.79202,-3.7529433",5
"6.6507473,24.87643",2
"-45.18937,37.624054",4
"-41.342247,9.280984",9
"-0.63783437,14.966561",10
"-42.812477,10.283076",9
"3.053804,20.496927",10
"29.134521,5.411009",5
"16.585222,-0.6310106",10
"-43.52073,4.9162483",8
"46.676826,-2.1231265",2
"16.96504,-8.336777",10
"-20.860342,-6.7213407",9
"23.223839,11.923306",3
"-9.954264,-47.447258",1
"26.500963,-24.922451",0
"36.071156,-16.590532",11
"28.665394,6.016994",5
"45.65875,-21.061296",5
"-5.6553755,26.218742",10
"32.57923,-27.1154",2
"-42.475826,8.888658",9
"-8.306988,26.566025",3
"25.595972,-13.931986",10
"8.834158,13.405377",5
"-43.687298,5.684765",8
"-41.419384,9.716843",4
"-43.64997,3.8716354",8
"-20.8355,-6.6958747",0
"-6.9058585,-53.145123",1
"10.52731,10.800055",3
"7.7321916,-18.011547",0
"31.246264,-14.997626",5
"9.96311,-19.621931",11
"22.779457,-12.471657",0
"-41.86637,10.2244425",9
"37.50333,22.209463",7
"-7.486593,28.608015",3
"-44.325516,4.971412",8
"-45.2711,36.99531",4
"7.427133,-18.28822",11
"27.442896,-13.504359",0
"22.180763,1.6878422",3
"-42.0713,9.712552",9
"-40.34549,10.370202",9
"39.98117,-25.432137",11
"-45.249996,37.9373",4
"7.358926,-18.369814",11
"0.54890615,26.421867",10
"-7.526483,-46.41984",1
"-45.000103,38.064075",4
"-45.232956,39.120583",4
"10.98526,25.955362",3
"36.102448,-13.627",5
"10.524897,7.1348743",10
"1.1266404,23.329666",3
"-8.23253,-43.82228",1
"-14.243959,15.760735",3
"31.13589,-25.649828",0
"17.11914,-1.2316215",11
"23.821606,-11.524536",5
"10.972187,11.318515",3
"-17.401314,14.91997",10
"-27.945086,51.104214",9
"33.12549,-36.017933",10
"-6.5676928,-45.844166",1
"-20.93056,-6.7216063",9
"39.64635,22.48858",7
"43.35958,26.250525",7
"11.685458,25.894209",2
"-41.95512,9.094534",2
"11.361401,16.8296",10
"-43.227554,5.318577",8
"-7.224871,-44.89943",1
"12.020251,-14.260197",0
"42.85978,12.659615",6
"-19.085556,15.087454",8
"29.868166,10.428172",2
"-9.721164,26.72205",3
"-10.800101,23.69794",3
"-41.305912,10.489461",9
"44.03047,-18.087559",11
"14.241505,14.081975",3
"-11.184734,24.628494",1
"43.483093,18.506922",7
"-15.396805,14.935426",3
"41.1308,-13.659695",11
"-28.997757,53.652695",8
"30.741098,-26.389551",3
"30.070217,-4.3391905",5
"-27.903582,52.45557",4
"-29.31445,51.15837",9
"-13.991834,-45.23001",1
"36.600304,-25.462862",0
"37.817936,19.602089",7
"-8.873844,-45.16776",1
"23.332571,12.1516285",8
"-41.514275,8.518671",8
"36.270527,-25.63713",11
"25.582483,-38.556087",6
"-7.898969,-44.712322",1
"-6.774578,-46.45941",1
"32.022846,19.449104",2
"29.384642,7.485379",5
"-27.82771,51.951748",4
"43.39534,-14.123067",0
"36.892086,21.456062",7
"37.392735,19.94936",7
"-42.807507,4.7159066",8
"-8.912415,-42.522205",1
"-44.475468,4.26974",8
"26.596699,-13.81173",11
"-28.015268,52.78318",8
"-18.220032,15.514877",1
"38.615864,19.930098",7
"-28.548857,51.801228",4
"-45.614285,38.147015",4
"-43.68186,4.240538",8
"42.67287,-15.683033",11
"-41.015385,-0.99863833",8
"12.929279,-8.924926",11
"30.88053,-27.722876",0
"-48.906666,34.480366",4
"30.795677,0.96836215",5
"41.30956,18.779577",7
"-17.624346,-16.339695",9
"5.681313,2.7107685",3
