embedding,labels
"-3.3672411,0.2678989,0.603965,2.0824192,0.47754824,1.1558985,-0.35919744,-2.5338101,-0.525032,-0.049044926",9
"4.1961007,-1.4132833,1.4058031,0.2979199,1.3281407,0.14725685,1.1251696,-0.25215852,0.65167934,0.58821446",7
"-1.4079278,0.30383453,1.8950796,1.458089,0.5354404,0.69375414,0.66834915,-1.4074903,0.47590548,0.30238935",3
"4.1749406,-0.6142393,-0.24340712,-0.71196413,-1.568802,1.0237912,-1.7721043,0.59326,-0.9576706,-1.0974771",5
"1.4547367,-0.8595685,0.14224824,-0.20822908,-0.5009778,-1.7292899,0.82275724,-1.331513,0.70509654,0.6260032",10
"1.2449102,-1.2043586,-0.10614811,-0.13456725,-0.42755413,-1.6671644,0.5857263,-1.4187696,0.4349093,0.25938582",10
"-0.36162975,-1.4386634,-0.098622166,-1.262113,-0.36977464,4.716716,-1.2550821,-0.16147424,-0.8153718,0.26853934",1
"3.649242,-0.27278537,1.0351089,-0.3523526,-0.36432195,-0.32519034,0.07896573,0.4854957,0.09053267,1.7419592",0
"3.284656,0.10582311,-1.3646848,-0.56668407,-0.11610791,-0.13053492,-0.92731774,-0.29196176,1.9342579,-0.38266018",3
"2.2560747,-0.31032997,-0.09732308,0.13212202,-0.8990606,-1.7184124,-1.9929409,0.0115174595,0.6133444,-0.8182407",5
"0.8315927,0.33322102,0.6159152,0.5323718,-0.333447,-1.5346335,0.8646584,2.2844784,0.53972507,-0.12673038",2
"-6.197305,1.5933131,0.47004566,1.3823043,0.01689487,-3.3579447,2.1676316,1.3313917,-0.18736948,-0.008384604",4
"-3.353991,0.42674646,0.5126899,1.9076313,0.44432873,0.9872489,-0.3794804,-2.3441215,-0.551303,-0.07124174",9
"-0.6602955,1.1479369,0.74363136,-1.2692667,-0.34103367,-0.18615037,1.3038349,0.641577,0.29807657,0.65396965",10
"-3.3868053,0.27124295,0.5849374,2.0811982,0.46908855,1.1522526,-0.36865717,-2.5370243,-0.5419449,-0.05932054",9
"0.27016932,-0.39506721,-0.49732685,-0.17670305,-0.3615832,-0.404347,1.3457795,1.6298162,0.20849572,-0.5968332",10
"2.2528927,-1.4190665,-1.8882039,0.33438894,1.2041367,-1.365844,-1.6548123,-1.6748822,-0.50076514,-1.3363181",5
"0.87036633,0.072649986,-0.29236084,0.46683836,-0.2941357,-0.90560347,-1.5805898,-0.5504117,1.0827814,0.48182294",10
"-3.9326186,1.7920744,-0.017458525,2.0319805,0.23468702,0.09028851,-0.05681585,-1.4558789,-0.21670972,-0.0644003",8
"4.5220613,-1.0806915,0.2595286,-1.320286,0.23214747,1.481518,0.7946338,1.2034516,0.7917063,-0.7050226",2
"1.4064878,-1.2417227,0.82013935,-0.5836562,-0.16901413,0.10734577,0.8848279,-1.1086174,-0.008823561,-0.019240502",10
"-2.9263928,-0.039402694,-0.109924346,-0.087995924,0.41949883,0.6925251,-0.70487297,-1.5672035,-1.582005,-0.8504982",9
"0.9911623,-1.0938983,-0.4026292,1.4643304,0.89890665,-2.7242029,0.37212983,-1.323884,-0.6641964,-0.23731886",3
"-0.26531547,-1.0696088,-0.7752595,-1.6338395,-0.06772111,5.130559,-1.333886,-0.27337414,-0.9609748,0.4508007",1
"3.695143,-1.5304084,0.8958938,0.2396858,-0.36842558,0.5449492,-0.8435946,0.24487573,0.06440097,2.2348962",0
"3.813599,-1.464426,-0.87995166,-0.4468309,-0.6865176,0.48821,-2.164843,-0.13787286,-1.2058115,-0.33751044",11
"2.1366692,-1.398909,-1.8991951,0.46465155,1.2926757,-1.5272101,-1.5792154,-1.7267766,-0.571689,-1.344368",5
"3.8134155,-1.2096429,-1.0538722,-1.4469361,0.9203724,0.036319267,-1.594174,-0.6040249,1.3683219,-0.79923844",5
"0.08262779,-0.71526706,0.82932574,1.6075206,0.6316006,-1.983585,1.2520527,-0.37856278,0.13401094,0.14100055",10
"3.963766,-1.8562205,0.10420772,-0.90855706,-0.2440691,1.4018793,-2.2963052,-0.18408948,0.23136458,0.2804752",2
"-3.4081006,0.51791596,0.46333078,1.9136552,0.42236888,0.92471194,-0.3671374,-2.2914467,-0.5473156,-0.08021899",9
"-0.13239981,-0.085794576,1.5294236,1.7322897,1.1023005,-2.3753815,1.371135,-0.05750487,-0.3543162,0.0029112115",3
"2.4772086,0.28088304,0.15124038,-1.9680228,-1.2559372,0.06507856,-1.2495098,-1.5755756,-0.5428916,-0.957509",10
"0.2924577,-0.03710061,-1.028373,-0.090908796,1.0779427,-2.1824608,0.6459149,0.8020238,-0.249942,-1.0485144",5
"-3.9051268,1.722159,0.005257694,2.0249155,0.24201842,0.13277683,-0.078768626,-1.5085078,-0.23846573,-0.0631605",8
"-3.3413315,0.40759152,0.5317137,1.9188426,0.45280886,1.0053778,-0.37377915,-2.3581095,-0.5407236,-0.0641057",4
"-3.9552002,1.9032376,-0.054751556,2.0089457,0.21359895,0.027306572,-0.040539682,-1.3620665,-0.19467023,-0.061731365",8
"-2.9289038,-0.042928632,-0.113625094,-0.09677202,0.41831604,0.6959217,-0.7038213,-1.5624286,-1.5827631,-0.8554045",0
"1.518021,-0.5080834,-0.24062511,-1.3174567,-0.9252536,4.4152975,-1.224575,0.51390064,-0.6424829,-0.019467408",1
"0.11818368,-0.28292364,-1.5650318,0.65648437,0.66136557,-1.2771634,0.15080602,0.55899507,0.29253453,0.21692981",3
"1.7428478,-0.42200848,0.37974718,1.1033266,-0.07589211,1.0565523,-2.0692668,-0.9977492,0.3773083,0.8801716",0
"2.4507146,-1.7484831,-1.3156053,0.5743651,0.60093623,-0.17576721,-1.6511867,-0.8977502,-1.2212418,-0.06402145",5
"1.1754522,0.17789336,-0.3981717,0.59262544,-0.6626175,0.5886639,-2.3740325,-1.3269,0.42532527,0.47949955",11
"2.2025776,0.21571842,-0.16985959,-2.160702,0.13509832,0.3782874,-0.13433158,-1.0172724,0.24147901,0.14202213",0
"-3.3352356,0.38023007,0.5557997,1.9511751,0.4627387,1.0358686,-0.36490652,-2.388072,-0.525628,-0.054347616",9
"4.1190085,0.20697269,1.1874021,-0.26759925,-0.054577854,-1.0926353,0.81512356,0.28006595,0.21923162,1.5625597",7
"-0.020702396,0.19494648,1.0909511,1.3828112,1.4104375,-2.9834707,1.1470901,-0.5493383,-0.37629893,0.1448913",3
"-3.9566617,1.8446513,-0.037918586,2.0385234,0.22799888,0.055931035,-0.04193637,-1.4178588,-0.20063128,-0.065461524",8
"-6.144613,1.5951995,0.43102962,1.4123304,-0.0056960704,-3.3064656,2.0683427,1.312414,-0.22135621,0.0041666487",4
"1.8108485,-0.50477624,0.41258863,1.0919585,-0.040065836,1.105149,-2.0532794,-0.9751853,0.31172422,0.90959513",11
