embedding,labels
"-5.945341,0.5395719,1.7832888,-5.0844927,1.445618",9
"6.29946,0.5129951,2.274213,-3.239026,1.7559371",7
"-3.857649,1.0151179,-0.8941782,3.0718367,-0.0017589899",3
"8.072015,-2.822585,0.1250928,0.009311499,-0.8251485",5
"2.4624953,0.45910034,0.6556412,0.37197697,1.0056372",10
"2.4124634,0.30243573,-0.07154548,0.7196839,0.98950166",10
"-1.3012402,-0.9012129,-3.2759771,-6.470278,-3.9916537",1
"4.578312,-1.0750532,3.1351235,-1.9208171,-0.8314438",0
"5.8667803,-3.6161904,-4.5038056,-2.4399202,2.3259706",3
"3.9556017,-3.1511874,0.303396,2.0069869,2.1401968",5
"1.3802505,2.5335553,3.0803742,2.8655155,-1.5425197",2
"-8.051415,0.13313001,3.4424505,2.7132275,1.1444703",4
"-5.8777723,0.39643916,1.2609657,-4.565219,1.6777025",9
"-1.3489189,2.9628313,2.3571599,0.13379213,-0.14629748",10
"-5.971655,0.5228598,1.7524958,-5.078936,1.4242767",9
"0.65375376,2.553306,1.242948,1.4088072,-2.736495",10
"3.6328151,-1.7578018,-4.0960474,2.1993139,0.56471694",5
"1.7198967,-1.8852105,1.6731926,1.9698505,1.1604125",10
"-7.4785404,1.2242501,0.27757835,-3.6947927,2.5843322",8
"8.103975,-0.6297971,0.24267375,-2.679419,0.0032966952",2
"2.5353785,0.73483294,-0.6563277,-1.4278677,1.6643283",10
"-3.8836677,-0.16632548,-0.079750866,-2.8149874,0.7019388",9
"2.750648,0.56818074,-1.4363393,3.905206,1.1545631",3
"-0.8412752,-0.60057914,-4.21953,-6.6753564,-3.7701812",1
"4.267579,-2.7223537,1.681537,-2.9069214,-1.9352423",0
"6.5232635,-3.1336246,-1.3873242,-0.22010408,-0.6704275",11
"3.492623,-1.4685296,-4.130787,2.4873812,0.5740904",5
"4.5911636,-4.584787,-2.5523834,-1.8433878,1.8377471",5
"0.59844095,1.4154494,0.29975763,4.1591125,0.8246495",10
"5.301362,-5.0095325,-0.9231563,-2.3624344,-1.2975806",2
"-6.1314344,0.40952113,1.1578196,-4.5063033,1.8191396",9
"-0.16494803,2.4945362,0.5424006,4.9045753,1.1111369",3
"5.79843,-0.05397477,-1.3942635,-0.47537202,3.6700068",10
"1.3916565,3.4785783,-0.6653184,2.8996,-1.1727487",5
"-7.315498,1.1260437,0.41511327,-3.7949617,2.5061302",8
"-5.794476,0.49591976,1.334936,-4.5960083,1.6309886",4
"-7.717325,1.3587219,0.001822805,-3.4887586,2.6888294",8
"-3.881799,-0.16611749,-0.08724334,-2.818716,0.6905975",0
"0.5182573,-2.6197126,-5.0051584,-5.3762593,-4.482903",1
"2.5521336,2.7145152,-0.9998064,1.3334529,-0.9215883",3
"1.330988,-3.0351799,0.22726157,0.11415251,-1.3901186",0
"4.6037083,-1.676024,-2.7544193,0.50306916,-1.1123507",5
"0.5431575,-3.3538067,0.68194467,1.1328123,-0.044608496",11
"4.57327,-1.2178707,-1.0578531,-2.7150483,2.985317",0
"-5.832749,0.5987062,1.4770569,-4.7202473,1.5849917",9
"5.1519823,-0.12121479,4.0949397,-1.6478544,-0.26291993",7
"0.4380991,2.7113016,0.40369385,4.409755,2.248379",3
"-7.6920753,1.3422941,0.1701012,-3.6769037,2.5761282",8
"-7.7534494,0.03475002,3.5542865,2.7573462,1.1395063",4
"1.4080851,-3.0158718,0.14717738,0.00049324404,-1.4649777",11
"6.3066573,-0.8322502,-1.9582278,-0.98537034,3.2681744",0
"4.008576,0.213317,1.0531964,0.6920625,2.5784056",3
"-5.820423,0.50201946,1.3876776,-4.6527734,1.6206245",9
"-5.1314883,0.7338847,1.7261939,-4.490691,2.034591",9
"3.7444808,-5.5471087,-2.7470007,-0.6286867,0.093736604",11
"-8.133494,0.15411857,3.4138315,2.7071993,1.1446842",4
"1.4356294,-3.0111322,0.12426851,-0.030836884,-1.4815981",11
"-0.26979735,1.2257268,2.1344898,3.8027399,-1.0705676",10
