embedding,labels
"-0.29648322,8.888321,3.6783512,0.7770243,-0.055008847",3
"-0.7184382,4.586934,6.8224945,0.46445265,-1.1699417",3
"0.29842824,2.395625,1.3636583,0.52577484,-1.9803343",3
"-1.6256083,7.6453676,0.17926458,0.17274436,-0.9105396",3
"0.1362966,-0.29293945,-1.195635,1.6924633,-0.65747786",4
"-0.7923321,10.120056,-3.6623206,0.06341701,1.0228127",2
"-8.018239,-2.2222276,-6.193377,-1.3283813,-0.76365787",2
"2.68042,4.019612,0.37407827,-1.4086885,-3.3217824",4
"-0.39614233,6.496683,-0.8497477,0.117114775,-1.836362",3
"5.1383734,-5.394359,3.2618837,-0.30976498,-1.0822815",4
"0.88821256,3.1887863,-1.017891,-2.0282836,1.9719404",3
"-1.567092,-1.8834558,-0.08406942,-0.06273781,-1.3526992",0
"-2.305352,7.2248077,3.7803607,0.63194174,-3.3177097",3
"2.0192401,2.924983,9.399852,0.79650766,-1.6480043",2
"4.580652,-7.572253,2.106243,-0.43355933,-3.066363",5
"-0.74862784,9.787171,-4.384369,-0.019921765,0.4729402",2
"-0.049419448,8.53078,4.5100503,0.52143466,0.27817047",2
"-6.558396,2.8824446,-1.9096731,-2.381513,1.1464431",3
"7.6480017,-5.3543215,-1.1322575,0.7055417,-0.2306622",5
"4.490085,-1.4533604,-0.14955224,0.18060833,3.526391",1
"0.6713263,2.1268559,6.7913766,0.36573252,-0.03030152",3
"-6.2739644,-5.3074775,-6.081062,-2.4461393,-0.19744909",2
"-8.18317,-1.7496884,-6.171962,-1.6816815,-0.34809577",2
"1.7968961,1.8203815,0.16713133,-3.8002758,2.4483156",1
"-7.905927,-2.7992952,-6.1522503,-1.5138767,-0.7928032",2
"-0.68785006,10.098941,-4.6516957,0.08082434,0.22610229",2
"0.25243437,1.1055195,1.6753659,0.3690785,-2.0301356",4
"0.6276214,1.5745087,0.7914617,-4.1022205,0.37391415",5
"6.418987,-9.056539,2.03594,1.0071838,-2.0035753",5
"2.997752,2.9188778,9.262777,0.75733036,-1.704566",2
"4.677682,0.00019452468,-0.5611273,-3.3838336,1.4440448",1
"6.025126,-9.547183,1.4390093,1.2941365,-1.295248",5
"2.209876,3.4991379,9.16608,0.8982321,-1.7097474",2
"-1.3039795,6.10094,0.20119819,0.102255024,-1.5227271",3
"-2.019531,7.93371,1.1692569,-0.06673394,-0.8146776",3
"-1.9567354,5.915936,5.8030133,0.499591,-2.538549",3
"-1.7805334,8.038803,1.9094384,0.053605817,-2.2489119",3
"5.9376183,-6.0931406,1.6774243,0.4563839,1.4258232",5
"-0.77507764,9.018049,2.8112545,0.0041518216,-0.03440645",3
"-7.8299522,-3.6714475,-6.2729244,-1.5670321,-0.83086944",2
"-7.905564,-4.39889,-6.2626586,-1.5672656,-0.8715876",2
"2.0831134,3.752501,9.032178,0.95720345,-1.9799145",2
"1.9725233,3.8233612,9.009008,1.370991,-2.4482229",2
"-5.554449,-0.23432693,-1.7499696,0.25242132,4.1868715",0
"-1.4259014,9.780526,-4.3029685,0.49957538,-0.5538374",2
"-1.6624054,7.357392,-0.062765576,0.84346306,-0.93686825",3
"-0.18430263,8.055128,5.123642,0.76340264,0.5507976",3
"-0.24811791,8.783092,3.8583684,0.29767403,0.24116062",2
"8.320705,-1.4092239,0.38340935,-0.37345284,1.0440462",1
"-7.44978,2.295398,-3.3385386,-0.061056156,0.5663065",2
"7.065484,-4.784047,4.840158,1.076823,-0.7953571",5
"1.5497956,3.3344524,1.4789741,1.7128428,-2.5880222",0
"-7.6599813,-3.9827843,-6.2709365,-2.0476034,-1.1073303",2
"2.5118515,-7.7571464,2.2094247,1.1150597,0.28568277",5
"5.5516667,-8.591108,1.760502,-0.23259969,-3.3210967",5
"4.6913753,-5.5997033,1.6601988,1.604213,1.7456945",5
"-0.09256817,9.318137,4.6252904,0.6570302,-0.24171379",2
"4.808428,-5.168777,-1.450566,-1.9807347,-2.0856495",1
"5.3806524,-8.6051235,1.2394742,-0.028048024,-3.3426397",5
"-8.567081,-2.3267868,-6.2453403,-0.6956943,-1.1487415",2
"-0.43827254,9.110385,3.0754669,0.3183186,0.57553643",3
"6.4292083,-9.05323,2.040475,1.0123515,-2.001122",5
"4.5003724,-7.8740926,3.1813977,-0.7693909,-2.2901516",5
"-0.56350684,9.972731,-4.431448,0.41637114,-0.17457452",2
"-1.0869577,6.2731028,4.5932364,1.1251537,-3.1230786",3
"6.362148,-5.506048,4.0722833,0.7836834,-1.2806987",5
"7.2799325,-4.939444,5.088735,1.1038898,-0.728782",5
"-7.595034,-5.7362432,-6.165585,-2.1540608,-1.4041373",2
"4.8998356,-5.035001,-0.019610524,0.66450197,-2.144216",5
"-1.4849974,8.497417,1.727451,-0.08423248,0.03743715",3
"-8.01814,-2.0195343,-6.0823874,-1.5810086,-0.64613193",2
"5.9366894,-6.2654657,1.2966344,-0.88975537,-1.4532765",5
"2.1392078,3.3059652,9.1839075,0.94477093,-1.9154192",2
"6.4464426,-9.112162,2.020953,0.99443895,-1.9286286",5
"-2.9414396,7.00003,-3.1725717,-0.23122354,-1.5666902",3
"1.8227453,4.479362,9.329392,1.0060586,-1.4865662",2
"-7.9408903,-2.0955038,-6.601185,-1.1824286,-0.9622022",2
"1.5800523,-6.2795644,3.917898,0.57427853,0.12835516",5
"-0.039279375,8.991446,3.8559468,0.17529829,-0.09198727",2
"3.0084465,-6.6905665,2.7554357,1.3248966,2.1110156",5
"-0.639071,8.664949,2.824968,0.23860236,0.84811413",3
"-1.9352393,8.982522,-3.7707691,0.035780005,0.045018133",2
"-1.4235197,8.24833,-0.90111816,0.110109285,-0.552659",3
"0.016121015,8.913026,4.4644165,-0.051969036,-0.350132",3
"1.2264013,2.7771137,0.14259668,-2.1472957,1.1190933",3
"5.4557505,-9.186018,1.6400396,1.8736534,-2.5865996",5
"1.2155292,-7.575259,1.3329638,-0.17926358,-0.56765395",5
"1.738481,-2.181502,-1.7755454,-0.56742585,0.8460138",4
"7.6670003,1.4042035,-0.08297911,-1.3663841,2.929183",1
"2.268117,4.147323,-0.55008656,0.6780501,-4.721265",0
"0.3883374,-0.7719848,0.22328198,2.271704,-2.035588",4
"-0.075240076,8.812467,4.308851,0.26067087,-0.013850763",3
"-1.8861077,8.008532,1.6499015,-0.018086312,-1.808276",3
"-7.718611,2.1519933,-3.2070699,0.09399461,0.7905816",2
"2.1412635,3.838457,0.49623153,-1.8359612,-3.3434465",0
"0.9065381,-3.799673,3.2111177,2.0237381,-1.3352243",5
"5.66932,-7.5562644,-1.0180912,-0.8911054,-1.7666132",5
"-7.790316,-3.600934,-6.200914,-1.6428746,-0.9433266",2
"-0.16755891,8.801195,4.3978834,-0.050883103,0.43309373",2
"-0.52598345,-1.0444134,1.0462661,0.82406837,-1.3867619",4
"-0.82815397,9.95266,-3.7121289,0.12308057,0.7378519",2
"1.0361176,-3.1630177,-1.2908016,2.0783122,0.023535501",5
"2.1470942,2.8316755,9.757068,1.2695426,-2.4950812",2
"-7.364778,-5.2781777,-6.508312,-1.2157916,-0.60756415",2
"1.2686492,-6.088572,3.4662025,-0.4874908,1.2938459",5
"2.995848,-5.368197,2.0122972,2.1211007,1.9475219",5
"-0.49223408,9.8465805,-3.9469502,0.80015296,0.12027468",3
"-6.7600074,-5.2380733,-6.4392176,-2.3446655,-0.68958306",2
"-7.1635814,-5.3970833,-6.423739,-2.0539212,-0.82811683",2
"5.494837,-9.742582,1.070763,1.4354339,-0.8992658",5
"-0.88354015,8.960962,2.6105714,-0.08171689,-0.13077755",3
"-7.5649858,-5.0854287,-6.5739436,-1.8030194,-0.13199048",2
"-0.55488044,9.75378,-4.376484,0.20962504,-0.23019998",3
"-0.3671466,9.176233,3.9502873,-0.2602809,-0.43032023",3
"0.2298696,0.33504376,0.17529388,0.096905366,0.8298884",4
"-8.058294,-1.4559053,-6.0356154,-1.2386501,-0.64258313",2
"1.9439204,-2.6244907,-3.0154111,-0.7335382,1.1664972",5
