embedding,labels
"0.39017683,5.500517,2.6252751,0.8431444,-0.36533514,0.44071686,-0.17868775,-0.5354675,0.061894074,-0.36073253,0.24274994,0.41873884,-0.30589324,-0.08250912,-0.25533843",3
"-0.32573235,1.9004419,4.4599333,1.4897691,-0.07767689,0.9374939,-0.4628497,0.28424588,0.07464359,0.12892193,0.27495003,0.12995331,0.24389513,0.3328288,-0.24593113",3
"0.11563072,1.6366531,0.9212825,0.17707384,0.12622194,-0.24989817,-0.58745295,0.48321262,-0.6812377,-0.39350486,-0.26621324,-0.4791608,0.32673967,0.12790625,-0.16505799",3
"-0.5265554,4.737626,-0.24262579,0.16574931,0.14842242,0.42500517,-0.53404844,-0.029295648,0.5806498,-0.27022064,0.20371099,-0.70998466,-0.5908553,-0.022843273,-0.20116775",3
"1.2576668,-0.29655164,-0.14114706,0.5502177,-0.7038924,-0.8064259,0.08645701,-0.46444377,-0.28154594,-0.37387496,0.21135238,0.46611038,0.612328,-0.07081067,-0.8426507",4
"0.4442522,6.0875688,-3.3863199,-0.6834604,0.15214357,0.14067484,0.14551976,-0.0011795931,1.141067,0.13635932,0.35027313,-0.44259453,-0.7820361,0.17909475,-0.13999872",2
"-6.4790792,-1.6614995,-3.773794,-1.1708211,-0.27888522,0.12386359,0.46779126,0.0034659747,0.23709212,0.13485971,0.20808777,-0.074406736,0.1770336,-0.20767224,-0.24076247",2
"2.448233,1.2668552,-0.12280182,0.5478802,-0.7730091,-0.6242168,-1.0603908,0.5533612,-0.9057305,0.0048923558,0.4191415,-0.3024055,-0.25905365,-0.048448812,-0.25380257",4
"0.27441007,4.177424,-0.6767313,0.1472036,-0.46794248,-0.24327777,-0.1355949,-0.078710146,0.27456772,-0.32677174,-0.09528652,-0.8981598,0.3612252,0.27832648,-0.10950348",3
"3.3479552,-3.5773413,2.4983144,0.15166113,-0.17024028,0.17264177,0.44254187,0.671623,-0.13392656,-0.017419871,0.65318215,0.5287525,0.3533962,0.5007413,0.02401456",4
"0.8606717,1.6817937,-1.8464674,-0.55898887,0.64942086,0.32747087,0.6238356,0.5938049,0.71740854,0.5212127,-0.44233617,-0.03668141,-0.1524754,-0.15207283,-0.50519556",3
"0.03082107,-0.77065927,0.3145774,-1.2706406,-0.55120474,-0.16842256,0.7688451,0.46999675,-0.16896491,1.025785,0.20318502,0.5014589,-0.03102391,-0.3028949,-0.19137987",0
"-0.68105274,3.4830246,2.3855069,0.25887468,-1.2669282,0.72053134,-0.13219903,-0.7828844,1.5140449,0.30242643,0.5779672,0.2782615,-1.2466817,0.3099394,-0.37515423",3
"0.8798834,-0.7987572,5.8846936,1.5533712,0.011834817,-0.2708052,-0.9847183,-0.079878956,0.35915372,0.014691361,-0.1853385,0.50207543,0.26182985,0.18241832,-0.16546032",2
"2.8758214,-4.5280523,1.3302248,-0.27052274,-0.3767577,0.28307807,0.5980084,-0.9393226,-0.019806748,0.867353,-0.114188045,-0.21292943,0.22804257,0.12793817,1.1768398",5
