embedding,labels
"-3.779204,16.887924,6.9084964",3
"-1.6436672,7.8869147,13.553018",3
"1.0481917,4.7659297,2.4277172",3
"-3.3535688,12.437533,1.9444302",3
"2.5424807,-1.9182215,-0.35904697",4
"-3.936261,18.02347,-4.4633102",2
"-14.760749,-2.4996521,-13.465879",2
"6.124152,5.7020917,0.6882932",4
"-0.78475225,11.251621,0.19706209",3
"11.816426,-14.33619,3.8933291",4
"0.10148013,6.452364,-5.8649974",3
"-0.85847217,-0.66967505,-1.0196401",0
"-0.9511838,10.266786,7.098979",3
"2.61307,6.6220865,18.093826",2
"11.779069,-16.328323,0.6267053",5
"-4.875932,17.535212,-5.0847607",2
"-3.223315,17.014454,7.908734",2
"-12.538876,4.7647495,-2.882763",3
"13.714279,-8.6617775,0.8537479",5
"11.389828,0.50764936,0.9927439",1
"-1.7678328,4.767392,15.596872",3
"-13.07354,-7.7897263,-13.53382",2
"-14.052802,-1.780861,-13.546032",2
"0.2776509,4.197631,-7.898502",1
"-14.596676,-3.2734144,-13.410007",2
"-5.1554317,18.033571,-5.275528",2
"0.81310475,3.9265707,3.357697",4
"-0.172723,1.5489161,-5.7174754",5
"15.387514,-16.64048,0.19380341",5
"3.6319118,6.821042,18.158916",2
"11.112106,1.5328971,-5.74945",1
"16.23774,-16.50612,-0.83885473",5
"2.5419016,7.335623,17.769058",2
"-2.2188096,10.501389,1.2873251",3
"-3.7057776,12.55109,3.490626",3
"-1.7449017,8.8704,9.776703",3
"-2.1401312,12.405839,4.8242955",3
"11.177576,-10.588301,4.8678417",5
"-3.3591459,15.716943,5.7169576",3
"-14.591075,-4.351974,-13.7240305",2
"-14.633247,-5.3686,-13.898267",2
"2.4253545,7.483955,17.25359",2
"2.561751,7.3525195,16.53871",2
"-11.451992,-0.4495458,-1.1284468",0
"-6.4391065,17.692953,-4.1502376",2
"-2.6744204,12.282132,1.5878432",3
"-3.305619,16.993073,8.920272",3
"-3.336425,16.475662,7.0001245",2
"17.827223,-1.5282903,-1.6655915",1
"-13.169541,4.4109716,-6.2166915",2
"18.368143,-7.5093102,6.713914",5
"2.9181144,6.9906197,2.9281528",0
"-14.017777,-4.880631,-13.548018",2
"6.9833145,-14.861618,4.2724714",5
"12.915897,-17.391697,-0.20471062",5
"9.071242,-10.117192,5.3885827",5
"-2.7226467,17.71345,7.2620287",2
"10.167176,-10.856429,-3.8185592",1
"12.823703,-17.071863,-0.8375345",5
"-15.798201,-2.4966033,-13.715501",2
"-3.5885015,16.667408,5.810472",3
"15.396784,-16.634129,0.2099503",5
"11.035893,-17.393824,1.879588",5
"-5.6324277,18.238338,-4.70626",2
"-0.53567505,10.112557,9.202502",3
"17.842663,-8.78919,5.9015956",5
"18.70246,-7.664318,7.030824",5
"-15.109356,-7.1818595,-14.150731",2
"10.804733,-11.085182,-0.37229344",5
"-4.0045853,14.305022,4.27511",3
"-14.327734,-2.2852626,-13.272133",2
"12.688533,-13.234136,1.3815945",5
"2.5460262,6.84975,17.488419",2
"15.526473,-16.568514,0.16449769",5
"-8.026491,13.164303,-2.7118623",3
"2.1045399,8.495366,17.509102",2
"-14.847661,-2.3415606,-14.113384",2
"6.2482924,-14.989014,7.480337",5
"-2.8482316,16.793926,6.7058144",2
"6.4707932,-11.856896,5.476449",5
"-4.362696,16.217731,5.7756906",3
"-6.3489685,16.183752,-4.275409",2
"-3.6222584,13.46276,0.614809",3
"-2.158098,16.802135,7.364184",3
"0.64609563,4.5089846,-4.7402134",3
"15.112914,-17.983433,-0.8732249",5
"5.123317,-16.762123,3.3859384",5
"3.4352655,-4.884079,-4.1958885",4
"15.725255,4.3712354,-0.7265834",1
"5.194511,7.2767,-0.946717",0
"-0.34166223,-1.4195226,2.7584245",4
"-2.8313625,16.850891,7.3812065",3
"-2.7220883,12.390274,4.378234",3
"-13.690408,4.1616807,-6.2071466",2
"5.502159,4.701606,0.8803134",0
"5.981923,-14.817543,11.626989",5
"12.288758,-13.646787,-2.6033757",5
"-14.479739,-4.3128567,-13.530509",2
"-2.860861,16.22855,7.671726",2
"0.90490353,-0.7395557,1.1389596",4
"-4.3780475,17.836025,-4.4007144",2
"2.1136746,-5.4935055,3.8831546",5
"3.344763,6.2844462,16.952711",2
"-14.051075,-6.438197,-13.590729",2
"4.639982,-14.2628975,6.6621466",5
"7.0095534,-10.365652,7.0458703",5
"-5.2311726,18.515574,-4.1188154",3
"-13.528891,-7.3510284,-14.0697365",2
"-14.124447,-7.085636,-14.066566",2
"16.586031,-16.530647,-1.8545625",5
"-3.370489,15.420114,5.465787",3
"-13.585598,-6.1741943,-14.343075",2
"-5.581764,17.709337,-4.6526113",3
"-2.2604442,16.238796,6.6353717",3
"3.725104,0.441102,-0.90747756",4
"-14.780325,-1.4740502,-13.303158",2
"4.1971426,-5.510701,-5.6997914",5
"0.54505956,2.1717494,-5.8101115",0
"2.6672869,7.1957207,19.170006",2
"0.89753014,4.6878953,2.807031",4
"-14.344183,-0.39870378,-13.027195",3
"-13.894264,-3.0170767,-14.172185",2
"-12.3364,4.056886,-6.9117546",2
"19.264318,-0.11442177,5.7947245",5
"11.418302,-16.587933,-2.598328",5
"-15.231716,-5.3941507,-13.280576",2
"4.3242044,-8.619654,6.2185416",5
"0.36109087,11.02182,-0.9957538",3
"-3.5832675,15.473247,-6.7375646",3
"3.517673,-4.213726,5.309226",5
"-0.25441396,7.7014737,17.766033",2
"5.9831104,-11.937136,9.5287695",5
"-5.1895833,14.185024,7.8677077",2
"-14.933919,-1.6885613,-11.247301",2
"11.606461,-13.600779,2.5500863",5
"-5.1840243,14.361673,8.206898",3
"-4.7700863,12.7359085,-0.3642552",3
"-5.0122995,14.384218,8.2153015",2
"1.3337414,5.723031,1.4032252",3
"-2.8506885,13.864693,9.122453",3
"12.144475,-13.517788,-2.4716754",5
