embedding,labels
"-0.35079885,-2.0666282,0.13292263,1.3329971,2.2215796,0.022023264,-1.1302533,-0.07793594,0.098329,4.843236,-1.4487095,-0.20916356,-0.09772855,-1.1754161,0.24362762",1
"0.70715445,-3.0345023,-0.40375784,-0.5453573,-0.15816198,-2.4001591,1.2484028,-2.3544493,-0.81177014,-0.33741215,-0.15937895,0.18397819,1.3483725,-0.48847467,0.536534",1
"1.1403027,-1.9131961,-0.5658021,-2.9513226,-0.8006352,-3.3279276,3.3789325,0.15747146,0.10296715,-0.3093936,-0.8396927,0.014729314,0.08394137,1.7972479,-0.24843505",2
"3.323061,-2.1649125,0.07811499,-1.5869654,1.2916791,-0.0787526,-2.056885,-1.2699301,3.6398933,-0.12714554,0.13277337,0.2330269,-0.09315621,0.11091231,-1.6045842",0
"-8.721068,6.422714,0.19841348,0.6596295,-0.36124542,0.21911824,0.51395655,-4.2099924,0.6498972,0.03494408,-0.10922333,0.034908034,0.35319066,-0.3794959,0.0738461",5
"4.07291,-0.82187545,1.0764575,-1.3124386,-1.1909068,-3.032497,-0.7469674,-0.37253514,0.46365505,-0.843141,0.2614329,0.09188734,-0.5898371,-0.14792088,-0.4744071",0
"1.306622,-2.7768981,0.107611455,-2.6231506,-1.0135337,0.09800071,0.4537913,-5.7811203,-0.65695727,0.36933246,0.06308048,-0.102658644,0.2977345,-0.42670217,-0.30919555",1
"1.2129829,-2.1913044,0.34709072,-0.28128436,1.5743785,0.13324893,-2.884073,3.8029025,-0.098418616,2.9532444,-2.123625,-0.261908,1.0790305,-0.8961903,0.75872326",2
"-0.30891606,-3.7069902,-0.0043042637,0.28440195,0.59039235,-1.1922358,1.8871785,0.70297986,-3.5030563,0.0077841943,-2.8580935,-0.17289717,-0.117554136,0.30666372,-1.4521207",1
"-6.713437,1.098256,0.356258,3.3680305,-4.5067873,0.46455786,0.7176181,1.322809,0.5824792,-0.11642893,-0.36498514,-0.17092656,0.057311762,-0.20047413,-0.010580041",5
"-1.6068778,2.524064,0.020117305,1.1491375,-1.7358758,1.2804481,4.7866874,0.5459027,0.68245476,-0.29431272,-0.17235263,0.2932769,0.15051495,-3.0405326,0.0347624",5
"0.7432513,3.3698137,0.5285829,-1.6950496,-4.3755326,-0.6686252,-0.89548224,-0.37273967,-0.39066654,0.21020588,-0.48016796,0.17027143,0.7413111,2.749393,-1.0166999",3
"2.4584262,-1.0257893,0.281611,-2.690884,-1.1167042,0.33956894,-0.60179764,-2.2239456,0.14373784,-1.0180236,-0.4637683,0.6235104,-0.027605332,-5.093587,0.18223836",0
"-1.7261149,-0.71441793,-0.37617937,-0.26682913,1.0583075,0.09362259,3.1638424,1.1311789,-1.4355657,2.5774138,0.08812288,0.25141713,-0.85343295,0.075304545,-0.051523525",2
"-0.5116591,0.101167195,-0.057744287,-1.7303442,0.70988405,-1.813409,-0.45930186,-1.9136999,0.49976692,0.39487618,-0.33354798,0.4120876,0.56886727,0.5462439,-3.4756486",1
"3.962468,1.6134286,-1.0091395,-2.645197,-4.0005674,-0.50405985,0.12049911,0.8865095,0.13519923,-0.18737799,-0.8114263,-1.5628346,-0.009056533,-0.7867897,-0.59052414",0
"1.085977,-2.888077,-0.088532105,1.0615779,3.1541348,-0.3088289,0.0414296,-0.016076334,-0.18435256,-3.1435008,-0.17555182,0.33917508,-0.09574255,-1.1657169,2.204486",1
"0.42347673,6.141723,-0.16547878,-2.2324064,2.5462415,-2.363894,-2.8570583,3.9703476,-2.2415597,0.5104661,-0.5607843,-0.002376674,0.5131587,-0.05873186,-0.8835264",4
"0.77229756,-4.573692,-0.23983677,-2.125783,0.5094644,-1.847735,2.038634,1.0668039,-0.6490586,3.3202012,0.018682681,-0.4970318,0.42241713,-0.1900208,0.22760028",1
"0.45876792,1.4696598,0.09735288,3.6321783,0.28651538,0.052284636,1.5360403,5.0318913,1.7635958,-0.17528355,-0.053996086,-0.20783941,-0.4005913,-1.3069967,0.041010886",3
"-1.3664777,-2.3788145,0.17817956,1.2892497,3.3521638,0.05919029,0.2630412,-0.57883704,-0.8456669,2.2236285,0.7152738,-1.1563019,0.7980504,0.8323701,-0.77686954",2
"0.40721774,-0.44152036,-0.106980115,-1.6073478,1.3169993,-0.63230574,-3.9375749,-4.061264,-0.25522113,0.39659414,-0.016291616,0.0899674,0.099290855,0.42519346,-0.6427753",2
"0.11955902,-2.717043,1.7897056,-0.35312542,-0.4228253,-1.3732384,1.1938556,-1.9613538,3.2518604,-2.06826,-0.15640604,-0.06796224,-0.030641904,-0.2569651,0.6844365",1
"-3.2051444,2.699772,0.115669765,-2.312357,3.0268846,-1.3505278,-1.5978131,-4.4560814,-1.2733259,1.0736743,-0.26256225,-0.08417006,0.5847908,1.1719018,-0.2155212",5
"1.8240719,-2.8919532,-0.9691684,-1.6333859,0.563514,-2.7030807,0.58783454,-0.9644841,-3.5752783,-1.9985125,0.22719169,0.23648861,0.7251329,2.6212733,-0.44458258",1
"-3.1466787,3.3422592,0.16737878,0.6909407,5.3519917,-0.6690129,0.77684927,-2.957485,0.41781682,0.028623477,-0.36261413,-0.08025793,-0.05141575,-0.5637672,-0.6088336",5
"-0.33375424,2.312177,-0.1336228,0.5182506,1.7879759,-0.46885368,0.119621806,2.6098373,4.1987567,0.0093924245,0.16334757,0.0954421,-0.6370525,-3.3994842,0.17884028",5
