embedding,labels
"-3.208812,-17.785646",1
"0.84303707,-16.419838",1
"2.514203,-14.380582",2
"47.72885,6.3098006",0
"-23.880686,11.67885",5
"45.7309,7.1211157",0
"0.5672939,-15.2954445",1
"-3.7737896,-16.363657",2
"-1.2549139,-19.749262",1
"-26.99212,7.3564434",5
"-11.019561,10.882301",5
"-12.863055,20.510221",3
"46.10837,11.791732",0
"-4.8813534,-13.794277",2
"-7.742385,-11.17579",1
"47.28093,10.28736",0
"-0.50542545,-17.086357",1
"-21.989725,9.904121",4
"-0.20494013,-18.171215",1
"-8.628608,12.93567",3
"-3.1291292,-18.047365",2
"-8.137624,-10.475516",2
"1.4245931,-16.692818",1
"-17.649618,6.7299747",5
"1.3939915,-14.0105715",1
"-16.647497,7.66493",5
"-10.573148,14.615795",5
"2.0375519,-18.080637",1
"-6.3888345,-10.574955",2
"-2.3593261,-20.546028",1
"40.119556,10.208986",0
"-6.9715166,-11.976806",2
"-23.918737,12.886848",5
"2.3525743,-16.500555",1
"-3.86291,-10.780094",1
"46.20372,7.545267",0
"41.06592,6.958635",0
"0.8451632,-13.56643",2
"-13.428619,20.035336",3
"49.9294,4.5083175",0
"42.23634,8.787799",0
"-8.166505,22.802551",3
"-9.423665,-5.431859",2
"-3.6057417,-18.842138",2
"0.7684486,-17.91203",2
"-20.20876,5.304723",5
"-4.401092,14.92007",3
"49.323597,-0.58462495",0
"-7.5649247,-12.308547",2
"-8.355125,-11.503127",1
"-0.32221475,-16.17768",1
"-2.8914945,21.018705",4
"-3.3446527,21.861105",4
"-27.076374,10.987433",4
"-21.540411,6.1713576",5
"-7.3808537,-9.586218",1
"-2.5216255,-17.232157",1
"-3.8867717,27.627989",4
"-9.938932,9.697947",5
"-3.632527,27.617819",4
"-7.538044,15.915797",3
"-9.050246,26.467062",4
"-1.4998946,-15.854186",2
"-25.104355,11.106242",5
"-0.8039862,-18.878304",1
"-6.05866,-10.8738785",2
"-1.3534875,-17.98654",1
"48.656693,1.0168681",0
"-2.3388972,-15.932664",1
"46.69582,5.721515",0
"-2.0146902,-19.096197",2
"-0.64759326,-11.936718",2
"46.19766,0.7122223",0
"-22.562931,5.157091",5
"-9.741875,8.914815",3
"1.085583,-18.931723",1
"-1.5797191,-16.599293",1
"-18.521212,16.51115",5
"-6.0300646,21.755705",3
"-25.753319,7.7500067",4
"-5.2008615,15.911923",3
"-23.902687,8.532323",4
"-3.495251,-20.554962",1
"-1.7765061,-13.543594",2
"50.817474,-2.779243",0
"44.91883,2.172662",0
