query,ground_truth
"The following given embeddings correspond to ""walking upstairs"": [[-0.75086665, 17.884275, 19.062141], [-12.919419, 25.662718, 15.576942], [-15.639891, 27.32815, 3.2276714], [1.2113004, 13.412265, 11.975846], [-10.550701, 16.466503, 7.744231], [-2.655232, 12.920911, 13.789426], [-0.10167119, 13.8868, 9.586569], [1.8198892, 17.642588, 16.701843], [-20.24321, 16.669605, 11.780585], [-13.778849, 16.149841, 9.2445135]], and the following given embeddings correspond to ""standing"": [[-12.420437, -5.3660054, -9.848012], [8.645077, -1.3262985, 6.434553], [6.764348, 7.758596, -6.0576286], [15.503964, 4.601669, -17.115257], [-6.778849, -19.09096, -9.538039], [0.46096817, 0.06391604, 4.5970645], [7.889047, 9.115275, -16.816896], [17.550638, 6.1270337, -11.851272], [6.7585125, 5.763059, -25.283327], [7.3580523, -5.0209837, 4.8027925]]; classify the embedding [-7.8814487,30.168257,15.18948] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-17.86232, 10.758809, 10.47529], [-8.464295, 26.818647, 18.636805], [-6.5662766, 23.171757, 0.7822213], [1.2113004, 13.412265, 11.975846], [-14.240482, 12.945572, 5.317308], [-11.65231, 14.316778, 3.0622625], [-15.568956, 16.413572, 3.8236015], [-10.590114, 10.077792, 4.5212865], [-7.3043337, 19.986658, 17.64818], [-16.276045, 20.8936, 14.927042]], and the following given embeddings correspond to ""standing"": [[-2.3122034, -6.5505843, -3.7494836], [12.296763, -6.83146, 1.4546301], [2.9086304, 0.6230812, -1.2331423], [12.430415, -13.807134, -3.1657336], [3.4793162, -11.173801, -21.490404], [6.023477, 7.961999, 3.348466], [0.46096817, 0.06391604, 4.5970645], [4.1064754, -2.513109, -6.1237826], [13.328048, 10.718023, -8.329817], [-10.6595125, -9.654195, -2.4062393]]; classify the embedding [-0.75086665,17.884275,19.062141] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-20.703928, 24.455555, 10.535416], [-20.24321, 16.669605, 11.780585], [2.831927, 24.231455, 4.70223], [-13.778849, 16.149841, 9.2445135], [-36.023277, 3.9159458, 9.514197], [-10.730675, 28.255638, 13.738781], [-15.568956, 16.413572, 3.8236015], [-7.4790974, 12.2469015, 6.197446], [-17.86232, 10.758809, 10.47529], [-7.5479894, 13.601346, 17.268787]], and the following given embeddings correspond to ""standing"": [[-0.49193394, -14.048679, -15.61871], [-13.621285, -12.604707, 2.4846299], [6.7585125, 5.763059, -25.283327], [2.9086304, 0.6230812, -1.2331423], [0.9884575, -6.3076444, -9.867937], [2.6961985, -11.5463, -1.5831257], [-4.306504, -10.457346, -19.773607], [-0.49565294, -3.058589, -24.948856], [19.197655, -7.1146126, -9.151194], [4.1064754, -2.513109, -6.1237826]]; classify the embedding [-11.371615,12.379286,8.961847] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[2.5303297, 28.99192, 9.666942], [-12.919419, 25.662718, 15.576942], [-36.29765, 8.302441, 9.638138], [-34.393894, 11.074299, -0.70249826], [-20.591713, 8.35281, 9.296491], [-11.65231, 14.316778, 3.0622625], [-31.297537, 13.802137, -6.5391374], [-15.639891, 27.32815, 3.2276714], [1.5872319, 19.578749, 12.293827], [-29.565054, 3.109872, 11.290991]], and the following given embeddings correspond to ""standing"": [[5.8100004, -6.426788, -13.149825], [-18.563856, -20.109167, -1.3279023], [17.994335, 0.37850705, -14.050938], [13.328048, 10.718023, -8.329817], [9.912635, -19.588264, -5.51484], [8.805399, 6.9922113, -12.563676], [15.220691, 2.0256853, -7.235695], [-16.106518, -11.038292, -13.810024], [6.8072324, -10.000723, -28.845335], [15.503964, 4.601669, -17.115257]]; classify the embedding [-4.655153,27.418484,1.0692061] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-13.778849, 16.149841, 9.2445135], [2.831927, 24.231455, 4.70223], [-7.5479894, 13.601346, 17.268787], [-20.591713, 8.35281, 9.296491], [-13.157198, 18.610394, 6.5310173], [-11.26508, 24.088936, 1.3601589], [-14.240482, 12.945572, 5.317308], [-14.632012, 9.856647, 12.394716], [-0.22300349, 21.214588, 17.385635], [-7.4790974, 12.2469015, 6.197446]], and the following given embeddings correspond to ""standing"": [[17.550638, 6.1270337, -11.851272], [-16.106518, -11.038292, -13.810024], [-2.375156, -16.075346, 1.4116664], [0.9997333, -4.575722, -14.870921], [-12.906513, -16.562151, -4.61686], [-26.97357, -1.1725367, -6.5537753], [-12.420437, -5.3660054, -9.848012], [-18.563856, -20.109167, -1.3279023], [7.3580523, -5.0209837, 4.8027925], [-5.972454, -3.2176538, -12.560256]]; classify the embedding [-6.5662766,23.171757,0.7822213] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[2.831927, 24.231455, 4.70223], [-25.636265, 16.845879, -3.5901318], [-18.84518, 27.504421, 9.981673], [-10.730675, 28.255638, 13.738781], [1.9586881, 27.170458, 1.2698971], [-36.023277, 3.9159458, 9.514197], [-0.9886973, 17.839552, 15.284915], [-10.550701, 16.466503, 7.744231], [-15.568956, 16.413572, 3.8236015], [-31.297537, 13.802137, -6.5391374]], and the following given embeddings correspond to ""standing"": [[-5.972454, -3.2176538, -12.560256], [-4.306504, -10.457346, -19.773607], [5.3722963, 12.332556, -12.633053], [5.978492, 3.4504697, 5.9125147], [9.546873, 7.1133113, -18.873886], [-14.962323, -13.811378, -6.6063495], [2.9086304, 0.6230812, -1.2331423], [1.3455329, 2.5659924, -29.519182], [5.638721, -21.449514, -9.059744], [19.286528, -6.055726, -16.02937]]; classify the embedding [-17.47152,5.78674,10.686718] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-1.3859091, 25.493225, 19.522823], [-36.29765, 8.302441, 9.638138], [2.831927, 24.231455, 4.70223], [-20.812794, 26.948355, 13.04356], [-17.86232, 10.758809, 10.47529], [2.5303297, 28.99192, 9.666942], [-4.655153, 27.418484, 1.0692061], [-15.568956, 16.413572, 3.8236015], [-20.591713, 8.35281, 9.296491], [-10.730675, 28.255638, 13.738781]], and the following given embeddings correspond to ""standing"": [[10.77988, 6.7889924, -15.644221], [6.023477, 7.961999, 3.348466], [-3.7815647, -9.439724, -4.8249083], [13.328048, 10.718023, -8.329817], [-17.64991, -11.234598, 0.17096967], [19.286528, -6.055726, -16.02937], [-26.97357, -1.1725367, -6.5537753], [-5.972454, -3.2176538, -12.560256], [12.641906, 10.763963, -13.556607], [11.371021, -8.365734, -9.405746]]; classify the embedding [-12.919419,25.662718,15.576942] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-17.86232, 10.758809, 10.47529], [-11.371615, 12.379286, 8.961847], [1.9586881, 27.170458, 1.2698971], [-7.3043337, 19.986658, 17.64818], [-0.85438204, 24.009857, 6.6267843], [-4.655153, 27.418484, 1.0692061], [-15.568956, 16.413572, 3.8236015], [-16.276045, 20.8936, 14.927042], [1.8198892, 17.642588, 16.701843], [-6.5662766, 23.171757, 0.7822213]], and the following given embeddings correspond to ""standing"": [[15.503964, 4.601669, -17.115257], [-26.97357, -1.1725367, -6.5537753], [9.95808, 6.364844, 9.995389], [-4.6333404, -16.045473, -1.7231832], [1.9999478, -5.563507, 1.4494921], [19.197655, -7.1146126, -9.151194], [17.134705, 2.2494042, 4.3149524], [-10.6595125, -9.654195, -2.4062393], [13.748227, -13.174877, -16.288887], [14.503931, -11.502124, -6.113031]]; classify the embedding [2.831927,24.231455,4.70223] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-13.778849, 16.149841, 9.2445135], [-11.371615, 12.379286, 8.961847], [-16.276045, 20.8936, 14.927042], [-18.076305, 25.70908, 6.2199993], [1.5872319, 19.578749, 12.293827], [-25.636265, 16.845879, -3.5901318], [-17.86232, 10.758809, 10.47529], [-20.24321, 16.669605, 11.780585], [-7.8814487, 30.168257, 15.18948], [-12.919419, 25.662718, 15.576942]], and the following given embeddings correspond to ""standing"": [[-7.3013997, -9.352565, 2.677455], [5.3722963, 12.332556, -12.633053], [19.286528, -6.055726, -16.02937], [5.4061117, -0.72579235, 4.4979506], [-13.621285, -12.604707, 2.4846299], [12.296763, -6.83146, 1.4546301], [15.503964, 4.601669, -17.115257], [17.994335, 0.37850705, -14.050938], [-7.253693, -11.597859, -12.928682], [10.099464, 8.025624, 0.72579104]]; classify the embedding [-0.85438204,24.009857,6.6267843] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-14.736061, 28.054409, 10.194424], [-6.4933124, 25.609537, 15.19953], [2.831927, 24.231455, 4.70223], [-15.568956, 16.413572, 3.8236015], [-0.9886973, 17.839552, 15.284915], [-18.84518, 27.504421, 9.981673], [-17.47152, 5.78674, 10.686718], [-1.3859091, 25.493225, 19.522823], [-20.812794, 26.948355, 13.04356], [2.9541388, 20.848558, 8.822018]], and the following given embeddings correspond to ""standing"": [[1.9999478, -5.563507, 1.4494921], [-2.1467822, -10.286089, 7.3841043], [-2.375156, -16.075346, 1.4116664], [5.8100004, -6.426788, -13.149825], [19.197655, -7.1146126, -9.151194], [-9.598432, -9.281646, 9.928805], [-7.253693, -11.597859, -12.928682], [9.546873, 7.1133113, -18.873886], [9.912635, -19.588264, -5.51484], [15.220691, 2.0256853, -7.235695]]; classify the embedding [-7.4790974,12.2469015,6.197446] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
