embedding,labels
"2.0272717,-2.3826132,-4.135744,-0.49728897,-1.4550292,-0.46904236,1.5804038,-1.5148888,-4.308516,1.8909893",1
"-1.3951025,-3.9841106,1.5404534,-1.3052162,-1.1752361,-1.4817692,2.82621,-3.1872232,0.94511545,1.6600057",1
"-3.1648285,-3.5352929,5.3760166,-1.7168231,-0.2739267,-0.33717558,0.87240094,-4.6836395,-0.7618435,0.17985232",2
"5.598018,0.23029092,-1.3678317,1.1652845,2.3544924,2.754038,-4.4408336,0.48726517,0.2973808,1.159047",0
"-5.985953,0.33507276,0.21852714,-4.9005084,-3.2287676,-0.40725434,-0.40092576,-0.5198524,-1.1676637,0.10404481",5
"5.6283674,0.27011374,0.04349209,-0.42325774,-1.1914605,3.2303145,-1.2105939,-1.0280864,-0.17525375,-1.3635335",0
"-1.1486307,-4.829356,0.9013881,0.3087264,-2.0006244,-3.763753,2.3247683,-4.825067,-1.1498568,-1.8813272",1
"1.6534513,-2.6830068,-5.910357,-0.4219965,2.0196724,-0.40303046,0.35624257,-3.8038979,-1.0459874,0.5830859",2
"1.2322929,-5.082933,1.7476401,0.3105779,-0.2387878,-1.452869,1.5660994,1.5472237,5.291613,0.80910623",1
"-7.9286914,-0.20165496,0.018208146,4.940555,-1.5528253,-0.33539864,1.5751964,0.039697196,2.573993,-1.0526273",5
"-2.406845,4.626719,3.222136,-0.33503813,-1.6313163,-1.5066746,-0.79772866,1.8650723,0.12682356,3.4210467",5
"-2.9937787,4.837136,-3.6594257,4.991509,-2.6617272,0.701057,-0.1789867,1.0135539,1.2836456,-0.6105115",3
"3.6912699,-0.5575244,0.69737655,-7.581651,-1.4282951,-1.5230234,-2.2716448,-0.22580415,-1.0472025,0.004629227",0
"-2.7163866,-2.3920164,-4.6648846,0.22953847,0.27618146,-1.5918337,0.3562507,-0.12871374,0.6023925,-0.33256117",2
"-1.0474249,-1.5890285,2.3501253,3.2292275,2.2008693,0.5648884,3.8387005,-1.2153108,-3.0563958,2.9794207",1
"5.476294,2.8526528,-0.04525306,-1.8451035,-5.1367974,-1.2547016,-1.5187908,1.1044354,1.405017,1.3571109",0
"2.3388731,-3.9103122,3.5099125,0.53766376,-1.0314106,1.5860977,4.6507792,-0.04062229,-0.44602102,-0.0080025485",1
"-1.831284,2.0834866,-1.2512568,-3.8291638,-6.1837606,-0.21113417,0.41210827,-1.6363419,-1.4706554,-0.76341295",4
"0.8519524,-2.6586237,1.5792593,-2.3980305,-1.5334193,-4.509254,-0.96858346,0.35042965,1.1718018,1.2575837",1
"1.7448307,6.498691,2.412871,-2.957258,0.65197694,0.42666736,0.6533606,2.6270144,-0.27577084,0.5461487",3
"1.2646763,-3.9013243,-3.9128218,0.19926849,-0.53807074,-0.93450654,2.6607897,1.0260649,-0.61163896,1.8154906",2
